非洲	Afrika
Nui-fà-tha̍t	Nevada
Hàn (𨧀)	Dubnium
Hí (𨭎)	Seaborgium
Yin-thu-yòng	Indiska oceanen
Khô-sò-vok	Kosovo
Kâ-le̍t-pí-hói	Karibiska havet
Pô (𨨏)	Bohrium
Het (𨭆)	Hassium
Phan Kî-vùn	Ban Ki-moon
Ma̍k (䥑)	Meitnerium
Khô-lò-là-tô	Colorado
Tha̍t	Darmstadtium
Siau-pâng	Frédéric Chopin
Lùn	Röntgenium
Kô (鎶)	Copernicium
分類:Chú-yeu fûn-lui	Kategori:Topp
Chi-kâ-kô	Chicago
Arnhem	Arnhem
Tûng-kui	Vinter
Sî-pân-ngà-ngî	Spanska
Fî-là-thiet-fî	Philadelphia
Tî-tû	Spindlar
Kîm-tshièn	Pengar
Vì-kit-nì-â	Virginia
Sî Vì-kit-nì-â	West Virginia
Tshiâng-tséu	Spanskpeppar
Néu-yok-chû	New York (delstat)
Sṳ (鈰)	Cerium
Phú	Praseodym
Lò-tet-tó	Rhode Island
Ńg	Neodym
Khûn-chhùng	Insekter
Mâ-lî-làn	Maryland
Thi̍t-lâ-ngá	Delaware
Yû (銪)	Europium
Ngò-hài-ngò	Ohio
Vì-kit-ngì	Vergilius
Machiavelli	Niccolò Machiavelli
Pîn-sé-fap-nì-â	Pennsylvania
Uetersen	Uetersen
O-kú-sṳ̂-tû	Augustus
Néu Chhe̍t-sî-chû	New Jersey
Fûn-làn-ngî	Finska
Yin-thi-ôn-na̍p	Indiana
Vì-sṳ̂-pha-siên	Vespasianus
Thù-là-chṳ̂n	Trajanus
Hâ-tet-liòng	Hadrianus
Khièu-tshṳ-â	Georgia
Mâ-khù-sṳ̂ O-lie̍t-lî-vû-sṳ̂	Marcus Aurelius
Zagreb	Zagreb
Tet-khiet-sat-sṳ̂	Texas
Thai-mí-ngì-na̍p-tet-pâng	Tamil Nadu
Pet Khà-lò-lòi-na̍p	North Carolina
Nàm Khà-lò-lòi-na̍p	South Carolina
Loire-sén	Loire
Pâ-set-lò-nâ	Barcelona
Vòng-lî	Ananas
Me̍t-sî-sî-pí	Mississippi
Thièn-na̍p-sî	Tennessee
Néu Me̍t-sî-kô	New Mexico
Mìn-nì-sû-tha̍t	Minnesota
Vî-sṳ̂-không-sîn	Wisconsin
Oi-hò-fà	Iowa
Nui-pu-lâ-sṳ̂-kâ	Nebraska
Khâm-sat-sṳ̂	Kansas
Yin-thi-ngî	Hindi
Me̍t-sû-lî	Missouri
Lu-yi-sṳ̂-ôn-ná	Louisiana
Khén-thap-kî	Kentucky
Â-khén-set	Arkansas
Neil Armstrong	Neil Armstrong
O-khiet-lâ-hò-mâ	Oklahoma
Pet-hói	Nordsjön
Mo̍k-sṳ̂-khô-chû	Moskva oblast
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hannover
Düsseldorf	Düsseldorf
Mainz	Mainz
Wiesbaden	Wiesbaden
Saarbrücken	Saarbrücken
Mu-nì-het	München
Erfurt	Erfurt
Dresden	Dresden
Kaliningrad-chû	Kaliningrad oblast
Murmansk-chû	Murmansk oblast
Kak-than-sṳ̂-khiet	Gdańsk
Fap-làn-khiet-fuk	Frankfurt am Main
Fut-lò-tshṳ-ngá-fû	Wrocław
Làn	Lantan
Ki (鉕)	Prometium
Sân	Samarium
Â-chhè Thi̍t-phe̍t Hàng-chṳn-khî	Aceh
Nga̍t (釓)	Gadolinium
Thi̍t (鋱)	Terbium
Tit (鏑)	Dysprosium
Sṳn-kîn	Bibeln
Fó	Holmium
Ngí (鉺)	Erbium
Tiû	Tulium
Yi	Ytterbium
Liu	Lutetium
Hò-nui-sṳ	Hanoi
Chṳ̂n Yâ-sû Kau-fi	The True Jesus Church
Yîn-ngî	Engelska
Màn-kuk	Bangkok
Kit-lùng-po	Kuala Lumpur
Pâng-kâ Vú-lî-thung-sén	Bangka-Belitung
Thòi-pet-sṳ	Taipei
Mî (鋂)	Americium
Arkhangelsk-chû	Archangelsk oblast
Khiu̍k	Curium
Thùng-hói-sṳ	Dong Hoi
Concepción	Concepción, Chile
Pet (鉳)	Berkelium
Khà (鉲)	Californium
Mìn-kú-lû-sén	Bengkulu (provins)
Oi	Einsteinium
Fi	Fermium
Mùn	Mendelevium
Na	Nobelium
Ontario-sén	Ontario
Lò	Lawrencium
Karelia Khiung-fò-koet	Karelska republiken
Końskowola	Końskowola
2002-ngièn	2002
