ᎬᎿᎦᏍᏛ	Afrika
ᏁᏩᏚᏂ	Neptunus
ᏡᏙ	Pluto
ᎠᏂᎶᎻ ᎦᏬᏂᎯᏍᏗ	Latin
ᎠᎵᎻᏂᎠ	Armenien
ᏒᏈᏯ	Serbien
ᎡᎳᏗᏜ	Australien
ᏘᏲᎭᎵ ᎡᏆ	Dinosaurier
ᏎᏗᏳᏍᏗ ᏒᎦᏔ	Päronsläktet
ᏅᏩᏙ ᎯᏯᏛ	Fred
Star Wars	Star Wars
ᎴᎹᏂ	Citron
ᏆᏁᎾ	Banan
ᎦᏚᎲᎢ	Stad
Napoleon	Napoleon I
ᏃᏈᏏ	Stjärna
ᏅᏓ	Solen
ᎦᎷᎾᏗ	Himmel
ᏅᏓ ᎠᎴ ᏚᏓᏕᏫᏍᏛ	Solsystemet
ᎦᏌᎧᎯᎨ ᎤᏃᎴ	Helium
ᎵᏘᎥᎻ	Litium
ᏇᎵᎵᎥᎻ	Beryllium
ᎪᏪᎵ	Bok
ᏒᏃᏱ	Natt
ᎤᎦᏔ ᏅᏓᏳᏓᎴᏅ ᏬᏗᎨ	Kol
ᎾᎢᏠᏤᏂ	Kväve
ᏗᎧᏃᎩᏛ	Musik
ᏩᎶᏫᏂ	Fluor
ᏥᏩᏩ	Chihuahua (delstat)
ᎦᏌᎧ ᏔᎷᎩᏍᎩ	Aluminium
ᎢᏂᏗᎢᎠ	Indien
ᏔᎷᎩᏍᎩ	Järn
ᏉᏔᏏᎥᎻ	Kalium
ᎪᎳ ᏗᏝᏂᎪᎯᏍᏗᏍᎩ	Kalcium
ᎦᏂ	Bly
ᎹᏂᎪᎵᎠ	Mongoliet
ᏔᎢᏖᏂᎥᎻ	Titan
ᏩᏁᏗᎥᎻ	Vanadin
ᏐᏈᎵ	Häst
ᎦᏂᏝᎢ	Djur
ᏉᎵᏫᎠ	Bolivia
ᎥᏣᏱ	Koppar
ᎩᎵᏣᎢᏍ	Kirgizistan
ᏩᎧ	Nötkreatur
ᏔᏥᎩᏍᏕᏂ	Tadzjikistan
ᏉᎨᎼᏂ	Pokémon
ᏔᏯᎴᏂ	Thailand
ᎠᎢᎵᏗᏴᎻ	Iridium
ᏝᏘᏅᎻ	Platina
ᏧᎦᎾᏮ ᎪᎵᎠ	Sydkorea
ᎠᏕᎸ ᏓᎶᏂᎨ	Guld
ᎠᏂᏉᎵᏍ	Polacker
Julius Caesar	Julius Caesar
ᎤᏅᏉᎳᏛ	Regnbåge
ᎠᏑᏫᏍᏗ	Färg
ᎠᏕᎸ ᎤᏁᎦ	Silver
ᏔᎷᎩᏍᎩᏳᏍᏗ	Tenn
ᏳᏪᏂᎥᎻ	Uran
ᏡᏙᏂᎥᎻ	Plutonium
ᏁᏩᏚᏂᎥᎻ	Neptunium
ᏇᎵᎥᎻ	Barium
ᏍᏆᏂ ᎧᏬᏂᎯᏍᏗ	Spanska
Johann Sebastian Bach	Johann Sebastian Bach
ᎧᎿᏁᏍᎩ	Spindlar
ᎠᏕᎳ	Pengar
ᏄᏯᎩ	New York (delstat)
ᏳᎳᏈᎥᎻ	Europium
Augustus	Augustus
Trajan	Trajanus
ᏙᎩᏲ	Tokyo prefektur
ᏍᏆᏂᏤᏍᏛᎢ	New Mexico
ᎣᎦᎳᎰᎹ	Oklahoma
ᏗᎦᎳᏫᏍᏗ ᏥᏌᏯ	The True Jesus Church
ᎩᎵᏏ ᎦᏬᏂᎯᏍᏗ	Engelska
ᎠᎺᎵᏏᏯᎻ	Americium
ᎠᏔᏩ, ᎨᎾᏓ	Ottawa
ᎠᏤᏙ	Jakarta
Wikipedia:ᏃᏯᎭ ᎧᏁᏌᎢ	Wikipedia:Sandlådan
ᎤᏪᏴ	Flod
ᎠᎧᏔᏘ	Teleskop
ᎫᎵᏘᎦ	Curitiba
ᏌᎶᎵ	Ekorre
ᎠᏙᎯ ᎢᎾᎨ	Skog
ᎪᏈᏂ ᏌᎪᏂᎨ	Corbin Bleu
ᏧᏈᏓ (ᎤᏁᎳᏅᎯ)	Jupiter (gud)
ᏉᏧᎾ	Fortuna
ᏳᎳᏛ ᎠᏕᎳ	Euro
Category:ᎠᏂᎶᎻ ᎤᎾᏁᎳᏅᎯ	Kategori:Gudar i romersk mytologi
ᎡᏆ ᎦᏙᎯ	Världsdelar och kontinenter
ᎯᎸᏍᎩ ᏥᏍᏆ	Fåglar
ᏏᏅᏙ	Månad
ᎤᎵᎮᎵᏍᏗ	Portal:Huvudsida
ᎤᎴᏍᏓᎸ	Slida
ᎤᏬᎳᏨᎯ	Filosofi
Category:Candidates for speedy deletion	Kategori:Snabbraderingar
ᎤᏔᏅ ᏗᎧᏃᎩᏍᏗ	Piano
ᏗᎧᏃᎩᏍᏗ	Gitarr
ᎤᏬᏚ	Skönhet
ᏙᏒᏓᎵ	Myror
ᏕᎭᎷᎨ ᎠᏓᏛᏍᎩ	Aubergine
ᎧᏬᏄ	Egentliga andfåglar
ᎤᏂᏥ	Moder
ᎤᎾᏥ	Snö
ᎠᏲᎵ	Barn
ᎠᎦᏍᎬ	Regn
Nelson Mandela	Nelson Mandela
ᏅᏯ	Bergart
ᎤᎶᎩᎸ	Moln
ᎠᎦᎷᎦ	Tromb
ᏗᏎᏍᏗ ᏓᏍᏓᏅᏅ	Geometri
Category:ᏗᎧᏃᎩᏛ	Kategori:Musik
ᎬᏂᎨᏧᎵ	Rödräv
ᎧᏫ	Kaffe
ᎣᏓᎸᎢ	Berg
ᎤᎧᏲᏗ ᎡᎶᎯᏱ	Öken
ᏴᏩᏁᎬ Civil ᏓᏄᏩ	Amerikanska inbördeskriget
ᏆᏍᎩ ᎦᏬᏂᎯᏍᏗ	Baskiska
Unicode/Cherokee	Unicode
ᎠᏂᏍᏫᏗ ᎦᏬᏂᎯᏍᏗ	Svenska
ᎥᎦᏔᎲᎢ	Kunskap
ᎪᎵᎥ	Koreanska
ᎦᎴᎪ ᎦᏬᏂᎯᏍᏗ	Galiciska
ᏁᎵᏒ	Tänkande
ᎠᎺᏉᎯ	Ocean
ᎠᏤᎷᎯᏍᏗ	Saxofon
ᏬᎾᎵᏗ ᏪᎦᏂ	Ronald Reagan
ᎠᏣᏅᏙ	Plasma
ᎠᎴᏂ	Bekasi
ᏏᏆ	Svin
ᏚᎵᏍᏗ 11, 2001 ᏗᎦᏘᎸᏍᏗ	11 september-attackerna
ᏡᎬ	Träd
ᎤᏅᏗ ᎦᏚᏅ	Ost
ᏖᎸᎳᏗ	Druva
ᏐᎯ	Nöt
ᎠᎱᎵ	Trumma
ᏄᏓᎨᏒ (Gravitation)	Gravitation
ᏧᏙ	Judo
ᎠᎾᎦᎵᏍᎩ ᎦᏂᏱᏍᎩ	Metall
ᎠᏥᎸ ᏔᎷᎩᏍᎩ	Stål
ᏗᎦᎶᎪᏗ	Jordbruk
ᏎᎷ	Majs
ᎠᏍᏓᏩᏛᏍᏙᏗ	Frekvens
ᎠᏰᎵ ᏚᎾᏙᏢᏩᏗᏒ ᏙᎪᏪᎸ	Lista över självständiga stater
ᏲᎾ	Björnar
ᏧᏍᎦ	Eksläktet
ᎠᏂ	Jordgubbe
ᎧᏄᎦᎸ	Björnbär
ᏆᏅ	Persika
ᎣᏂᏥ	Apelsin
ᎳᎢᎻ	Lime
ᎠᎵᎮᎵᏍᏗ ᎢᎦ	Thanksgiving
ᎦᏓᏘ	Flagga
ᎦᏍᎩᎶ	Stol
ᏗᎦᎵᏍᏚᎩᏍᎩ	Giraff
ᎹᏱᏕ	Näbbdjur
Queen	Queen
ᏗᎦᎭᎵ	Ödlor
ᏫᎩᏇᏗᏯ:ᎾᎥ ᏄᎾᏓᎸ ᎾᎿᎢ	Wikipedia:Bybrunnen
ᎠᏍᏘᏂ	Austin
ᎭᏫᎾᏗᏢ ᏗᏎᏍᏗ ᎤᎬᏩᎵ	Plan (geometri)
ᎬᎾ ᎤᏔᎾ	Struts
ᎠᎺᎵᎨ ᎬᎾ ᎤᏔᎾ	Nanduer
ᏓᏂᏍᏓᏲᎯᎲ	Jul
Indo-European languages	Indoeuropeiska språk
ᏢᏓᏥᏧᎶᎸᏗ	Tiger
ᎩᏳᎦ	Jordekorrar
ᎠᏕᎵ	Adele (sångare)
ᎠᏫ	Hjortdjur
ᎤᏁᏍᏓᎳ	Is
ᎣᎩᏙᏓ ᎦᎸᎳᏗ ᎮᎯ	Herrens bön
ᎦᎦᎹ	Gurka
ᏔᎹᏟ	Tomat
ᏎᎵᎾ	Selena Quintanilla
ᎵᎳ ᏙᏮᏍ	Lila Downs
ᏢᏓᏥ ᎠᎦᏣᏄᎳ	Gepard
Felidae	Kattdjur
ᏑᎵ	Ormvråk
Escherichia coli	Escherichia coli
ᎠᏐᎠᏍᏙ	Öronlösa sälar
ᎠᏫᏳᏍᏘ	Antiloper
ᎨᏯᏔᎯ ᎬᎾ	Kalkon
ᎤᏍᏗᏰᎬ	Hår
ᎠᏍᏛᎭᏟ	Sandwich
ᏌᎵ	Persimon
ᏥᏯ	Utter
ᏩᏂᎨ ᎠᏣᏗ	Medusa (zoologi)
Pinnipedia	Sälar
ᎭᏰᎳᏍᏗ	Kniv
ᏐᏈᎵ-ᏧᎶᎸᏗ	Zebror
ᏣᎳᎩ ᎧᏬᏂᎯᏍᏗ	Cherokesiska
ᎠᎹᏍᎧᎦᎯ	Vattenfall
ᏣᏱ ᎤᏬᏗᎨ	Brons
ᏩᎭᎧ	Oaxaca
ᎪᏢᏅ	Smör
ᏗᎧᏃᎩᏛ ᎬᏔᏂᏓᏍᏗ	Musikinstrument
ᏌᏌ	Svanar
ᏅᏃᎯ	Väg
ᏝᏪᏆ	Flodhäst
ᎾᏳ	Sand
ᎫᏔᏍᏲᏍᏗ	Rossläktet
ᏢᏓᏥ ᎤᏅᏣᏗ	Leopard
ᎠᏂᎪᎢ ᎤᏂᏃᎮᎸᎯ	Grekisk mytologi
ᎠᎺᎵᎨ ᎤᏂᎬᏫᏳᎯ	Lista över USA:s presidenter
ᏓᏎᏘ	Spegel
ᏢᏓᏥ	Puma
ᎠᏩᎶᏓᎢᏘ	Afrodite
ᎤᏍᏔᎦᎳᏱ	Grotta
ᎠᎺᎵᎨ ᏢᏓᏥ ᎤᏅᏣᏗ	Jaguar
ᎪᏩᎳ ᏲᎾ	Koala
ᎤᎶᎩᎸ ᏢᏓᏥ	Trädleopard
ᎠᏍᎩᏘᏍᏗ	Dröm
ᏥᏍᏕᏥ	Råttor
ᎠᏂᎪᎢ ᎧᏬᏂᎯᏍᏗ	Nygrekiska
ᎠᏂᏃᎯᎵᏙᎲ	Jakt
ᎠᏉᎳ	Apollon
ᎬᎩᏍᏗ	Vattenmelon
ᎤᎬᏫᏳᎯ ᎡᏆ	Kejsare
ᎪᎱᏍᏗ ᎬᏔᏂᏓᏍᏗ	Verktyg
ᏣᏱ	Mässing
ᎤᎨᏓᎵᏴ	Dal
ᎠᏓᏢᎢᎯ	Åttaarmade bläckfiskar
ᏗᏑᏫᏍᎩ ᎡᏆ	Valross
ᎭᎹᏏ	Hermes
ᏧᎾᏓᏱᎵᏓᏍᏗ	Domstol
ᏚᏯ	Böna
ᎠᏂᏨᎹᏂ	Engelsmän
ᎠᎵᏍᏕᎸᏙᏗ ᎠᏕᎸ ᎬᏗ	Finans
ᎪᎦ	Corvus
ᏩᎴᎳ	Kolibrier
ᎬᎾ	Kalkoner
ᎠᏂᏳᎧᏪᏂ	Ukrainare
ᎤᎦᏔ	Lin (växt)
The Doors	The Doors
ᎠᏂᏣᏍᎩᎵ	Spöke
ᎠᏂᏔᎢᏖᏂ	Titaner
ᏑᏏ	Sushi
ᏐᏃᎳ	Sonora (delstat)
ᎤᏪᏴᎢ	Bäck (vattendrag)
ᏙᏯ	Bävrar
ᏫᎾᏏ	Venus (gudinna)
ᎤᏯᏍᎦᎳ	Bältdjur
Template:Commonscat	Mall:Commonscat
ᏧᎴᎯᏌᏅᎯ	Fenix
ᎠᏂᏲᎾ	Ryssar
ᎠᏂᎢᏔᎵ	Italienare
Dire Straits	Dire Straits
ᏓᎬᎾ ᏥᏳ ᏗᏔᎳᏗᏍᏗ ᏚᎦᏘᎸᏒᎢ	Attacken mot Pearl Harbor
Template:Taxobox	Mall:Taxobox
ᏩᎶᏏ	Stjärtlösa groddjur
ᏧᎵᏍᏓᎾᎵ	Malartade fiskar
ᏳᎧᏔᏂ	Yucatán (delstat)
ᎭᏩᏱ ᏗᎧᏃᎩᏍᏗ	Ukulele
ᎬᎪᏩᏛᏗ ᏗᎧᏃᏗ	Synliga spektrumet
Morse ᎠᏍᏓᏩᏛᏍᏙᏗ	Morsealfabetet
ᏳᏪᏅᏍ (ᎤᏁᎳᏅᎯ)	Uranos
ᏩᏓᏚᎦ	Egentliga trollsländor
ᎠᎳ ᏊᎦᏦᏩ	Alla Pugatjova
ᎦᏃᎸᏍᎩ ᎠᎦᏍᎩ	Storm
ᎦᏩᏒᎩ	Melon
ᏍᎪᏯ ᎠᏁᏍᎩᎸᎥᏍᎩ	Fjärilslarv
ᎠᏂᏍᏆᏂ (ᎧᏃᎮᎭ)	Mexiko (delstat)
ᏝᏍᎧᎳ	Tlaxcala (delstat)
ᏓᏫᏍᎦᎳ	Flinta
ᏓᏬᎵ	Fruktkropp
ᏐᏈᎵ-ᎠᏍᎦᏯ	Kentaurer
ᏗᎳ	Skunkar
Carl Menger	Carl Menger
Template:Cite book	Mall:Bokref
ᎦᏯ	Gaia
ᎡᎳᏗᏝ ᎬᎾ ᎤᏔᎾ	Emu
ᎠᎹᏳᎸᏗ	Kust
ᎤᎭᎸᏂ	Klocka
ᏣᎳᎩ	Cherokeser
ᎠᏂᎾᏩᎰ	Navajo
Uriah Heep	Uriah Heep (musikgrupp)
ᎠᏂᎦᎸᏥ	Fransmän
ᏗᏂᏃᎨᏂ	Gevär
ᏧᏃ (ᎤᏁᎳᏅᎯ)	Juno
ᏌᏆᏯ	Safir
ᎠᏍᏆᏂᎪᏒᏗ ᏂᎦᎵᏍᏔᏂᏙᎲ	Fyrverkeri
Panthera	Panthera
ᎠᏥᎾ	Cedersläktet
ᏢᏕᎦ	Ålartade fiskar
ᏋᏏᎥᏍ	Perseus
ᏓᎾᎵᏍᏓᏴᎲᏍᎬ	Festival
ᏓᏰᏂ	Diana
ᎠᏂᎲᏂᎦᎵ	Ungrare
ᎬᏙ ᎾᏍᏅᏏ	One Direction
ᏃᏥᏳᏍᏗ ᏒᎦᏔ	Ananassläktet
ᎤᎬᏫᏳᎯ ᎡᏆ ᏇᏠ II	Peter II av Brasilien
ᎾᏍᎦᏅᎾ	Dygd
Inachis io	Påfågelöga
ᎠᏂᏍᏆᏂ	Spanjorer
ᏤᏊᎳᏍᎧ	Drutten och Gena
ᎠᏂᏕᏂ	Danskar
ᎠᏂᏍᏫᏗ	Svenskar
ᎢᏯ	Pumpa
ᏭᏕᎵᎬ	Solnedgång
ᏌᎪᏂᎨ ᏣᎴᎩ	Blue Ridge Mountains
ᎤᏁᎫᎯᏍᏗ	Majonnäs
ᏓᏆ	Bardvalar
ᎠᏂᏤᎩ	Tjecker
ᎠᏂᏫᏂ	Finländare
ᎠᏂᎠᏲᎵᏍ	Irländare
ᎠᏂᏍᎶᏩᎩ	Slovaker
ᎢᎣᎷ	Aiolos
ᎤᏜᏩᏓ	Macropus
ᎠᏂᏉᏧᎦᎵ	Portugiser
ᏪᏍᏔ (ᎤᏁᎳᏅᎯ)	Vesta
ᎠᏂᏍᎧᏥ	Skottar
ᎠᎺᏉ ᎠᎨᏴ	Sjöjungfru
ᎠᎢᎵᏏ	Iris (mytologi)
Rita Levi-Montalcini	Rita Levi-Montalcini
ᏧᎳ	Vulpes
ᎠᏂᏃᏫᏥᏂ	Norrmän
ᎠᏂᎤᏁᏍᏓᎳ	Islänningar
ᎹᏔ ᏩᏒᏓᎾ	Martha Washington
ᎡᏆ ᎠᎺᎵᎨ ᎬᎾ ᎤᏔᎾ	Större nandu
Tigranes the Great	Tigran II
ᎭᏯᏏᏂ	Hyakinthos
ᎶᏃᎶᏃ	Rongorongo
ᎤᏁᎳᏅᎢᎤᏪᏥ	Amazing Grace
ᎠᎺᏉᎯ ᎤᏁᏍᏓᎳ	Havsis
Ayyavazhi	Ayyavazhi
ᎠᏅᎬᏂ	Anggun
ᎤᎵᎾᏫ	Sköldpaddor
ᏓᎦᎦ	Bromsar
ᎢᏃᎵ	Nordamerikansk grävling
ᎠᏂᏓᏪᎯ	Ängel
ᎠᏂᎡᏍᏙᏂᎠᏂ	Österrikare
ᎪᎷᏩᏛᎲ ᎢᎬᏁᏗ	Patent
Neofelis	Trädleoparder
ᏍᏏᏉᏯ	Sequoyah
ᏗᎭᏄᎧᎯ	Jultomten
Anthocharis cardamines	Aurorafjäril
Delias eucharis	Delias eucharis
Talicada nyseus	Talicada nyseus
ᏴᏩᏁᎬ ᏥᏉᏉ	Vandringstrast
ᎤᎾᎩᎾ	Castanea dentata
ᎠᏂᏇᎳᎷᏍ	Vitryssar
ᎠᏂᎶᎺᏂᎠᏂ	Rumäner
ᏈᎵᎩ ᎩᎵᎪᎶᏫ	Filipp Kirkorov
ᎠᏂᎪᎢ	Greker
ᏧᏴᏢ ᏗᎧᎸ ᏃᏈᏏ	Polstjärna
ᎬᎮ	Lodjur (släkte)
ᏕᎦᏃᏣᎸ	Telegrafi
ᏓᎵᏆ	Tahlequah
ᎨᏥᎧᎲᏓ ᎠᏁᎬᎢ	Tårarnas väg
Geitoneura klugii	Geitoneura klugii
ᏎᎷ ᎤᏂᏥ ᎠᏯᏟᏗ	Jobs tårar
Struthioniformes	Strutsfåglar
ᎬᎿᎨ ᏎᏗ	Svart valnöt
ᎧᏁᏨᎢ	Valsedel
ᎢᏤ ᎢᏳᏍᏗᎤ ᏪᏴ	Green River (Utah)
ᏩᎦᏧᎧᏅᏍᏕᎾ ᎤᏂᎾᏗᏅᏗ	Börsras
ᎠᏫᏒᏅ	Trädgård
ᏎᎷ ᎦᏚ	Majsbröd
ᎡᎩᏁᏍ ᎹᏂᎧ	Agnes Monica
Category:ᎠᎹᏰᏟ	Kategori:USA
Category:ᎨᎾᏓ	Kategori:Kanada
Category:ᏥᏍᏆ	Kategori:Fåglar
Category:Plantae	Kategori:Växter
Category:ᎧᏃᎮᏍᎩ	Kategori:Historia
Category:ᎤᎾᏙᏢᎯ	Kategori:Samhälle
Category:ᏗᏛᎪᏔᏅ	Kategori:Kommunikation
Category:ᎡᎶᎯ	Kategori:Jorden
ᎤᏐᎪᏍᏓᎩᎦᎨ ᎣᎭᎳ	Scarlett O'Hara
Rathinda amor	Rathinda amor
Dryas iulia	Dryas iulia
Zemeros flegyas	Zemeros flegyas
ᏬᎭᎵ	Örnar
Polyura athamas	Polyura athamas
Discolampa ethion	Discolampa ethion
ᎧᎹᎹ ᎤᏔᎾ	Elefanter
Abisara neophron	Abisara neophron
Morpho rhetenor helena	Morpho helena
ᎠᎳᏍᏚᎶ	Turban
Category:Stub	Kategori:Stubbar
Category:ᎡᏆ ᎦᏙᎯ	Kategori:Världsdelar
ᏗᎦᎪᏗ ᏚᎾᏙᎥ ᏙᎪᏪᎸ	Lista över växter
Category:ᎠᏰᎵ ᏚᎾᏙᏢᏩᏗᏒ	Kategori:Världens länder
Category:ᎠᎾᎵᏏᎾᎯᏍᏗᏍᎩ	Kategori:Nationalekonomi
Wikipedia:Administrators	Wikipedia:Administratörer
Category:ᎠᏂᏴᏫ	Kategori:Personer
Category:ᎤᏁᎳᏅ ᎤᏬᏢᏅ	Kategori:Natur
Wikipedia:Vital 100	Wikipedia:100 viktiga artiklar
Template:Bot	Mall:Bot
Wikipedia:What Wikipedia is not	Wikipedia:Vad Wikipedia inte är
ᎨᎾᏓ	Kanada
Category:ᏳᎳᏛ	Kategori:Europa
Current events	Portal:Aktuella händelser
Template:Documentation	Mall:Dokumentation
Wikipedia:NLT/ENGLISH	Wikipedia:Hota inte med att stämma
Wikipedia:Neutral point of view	Wikipedia:Neutral synvinkel
Wikipedia:Vandalism	Wikipedia:Klottersanering
ᏗᎦᎸᏫᏍᏓᏁᏗ	Näringsliv
Template:Softredirect	Mall:Mjuk omdirigering
Template:Delete	Mall:Radera
Category:ᎦᏬᏂᎯᏍᏗ	Kategori:Språk
Category:ᏫᎩᏇᏗᏯ	Kategori:Wikipedia
Template:Navbox	Mall:Navbox
Template:Nutshell	Mall:Nötskal
ᏍᏆᏏ	Squash (växt)
Template:!	Mall:!
Template:Clear	Mall:Clear
Template:Col-break	Mall:Col-break
Template:Col-begin	Mall:Col-begin
Template:Col-end	Mall:Col-end
Template:Bots	Mall:Bots
Template:Anchor	Mall:Ankare
Category:ᎬᎿᎦᏍᏛ	Kategori:Afrika
Category:ᏗᎪᏪᎵ	Kategori:Böcker
Template:Babel	Mall:Babel
Template:Commons	Mall:Commons
Wikipedia:Searching	Wikipedia:Sökning
Template:Stub	Mall:Stub
Template:User af-1	Mall:Användare af-1
Template:User eo-1	Mall:Användare eo-1
Template:User da	Mall:Användare da
Template:User da-1	Mall:Användare da-1
Template:User eo-3	Mall:Användare eo-3
Template:User de	Mall:Användare de
Template:User de-1	Mall:Användare de-1
Template:User et-1	Mall:Användare et-1
Template:User el	Mall:Användare el
Template:User es	Mall:Användare es
Template:User en-3	Mall:Användare en-3
Template:User en-1	Mall:Användare en-1
Template:User en-2	Mall:Användare en-2
Template:User eo-2	Mall:Användare eo-2
Template:User en-4	Mall:Användare en-4
Template:User en	Mall:Användare en
Template:User de-2	Mall:Användare de-2
Template:User fr-1	Mall:Användare fr-1
Category:ᏗᏓᏅᏖᏗ	Kategori:Koncept
Category:ᎥᎴᏂᏙᎲ	Kategori:Liv
Template:User ia-2	Mall:Användare ia-2
Template:User io-3	Mall:Användare io-3
Template:User ja-4	Mall:Användare ja-4
Template:User sk	Mall:Användare sk
Template:User fr-2	Mall:Användare fr-2
Template:User ja	Mall:Användare ja
Template:User ja-1	Mall:Användare ja-1
Template:User fr	Mall:Användare fr
Category:ᏨᏍᎪᏱ	Kategori:Insekter
Category:ᏓᎶᏂᎦᏍᏛ	Kategori:Asien
Category:ᏧᎦᎾᏮ ᎠᎹᏰᎵ	Kategori:Sydamerika
Category:User uk-N	Kategori:Användare uk-N
Template:Esoteric	Mall:Komplicerad kod
Template:Mod	Mall:Mod
Template:User sv	Mall:Användare sv
Template:SIL	Mall:Språk/kodlista
Template:User uk	Mall:Användare uk
Template:User es-2	Mall:Användare es-2
Template:Tsilugi	Mall:Nybörjare
Template:Wikipediasister	Mall:Wikipediasystrar
Category:User fr-1	Kategori:Användare fr-1
Template:Wikiquote	Mall:Wikiquote
Template:Image label	Mall:Image label
Template:Switch	Mall:Switch
Template:Cite journal	Mall:Tidskriftsref
Category:User en-4	Kategori:Användare en-4
Category:User en	Kategori:Användare en
Category:ᎠᎵᏍᏓᏴᏗ ᎠᎴ ᎠᏗᏔᏍᏗ	Kategori:Mat och dryck
Template:Wiktionary	Mall:Wiktionary
Category:ᏗᎦᎶᎪᏗ	Kategori:Jordbruk
Category:ᎠᏂᎪᎢ ᎤᎾᏁᎳᏅᎯ	Kategori:Gudar i grekisk mytologi
Template:Ethnic group	Mall:Folkgrupp
Template:User nl	Mall:Användare nl-N
Template:User no-2	Mall:Användare no-2
Template:Image label end	Mall:Image label end
Template:Documentation subpage	Mall:Dokumentationssida
Template:Userpage	Mall:Wikipediaanvändare
Template:Image label small	Mall:Image label small
Category:User ja-N	Kategori:Användare ja-N
Template:Verify source	Mall:Verifiera källa
Template:Hang on	Mall:Låtvara
ᎾᏆᏍᏛᏉᎦᏥᏍᎦᏂ	Just som jag är, ej med ett strå
Category:User sk	Kategori:Användare sk
Category:User eo	Kategori:Användare eo
Category:User fr	Kategori:Användare fr
Category:User gl	Kategori:Användare gl
Category:User ja	Kategori:Användare ja
Category:User sv	Kategori:Användare sv
Category:User fr-N	Kategori:Användare fr-N
Category:User gl-N	Kategori:Användare gl-N
Category:User sk-N	Kategori:Användare sk-N
Category:User de	Kategori:Användare de
