ਅਫ਼ਰੀਕਾ	Afrika
ਰੋਮਾਨੀਆ	Rumänien
ਬੁਲਗਾਰੀਆ	Bulgarien
ਰੋਮ	Rom
ਮਕਦੂਨੀਆ ਗਣਰਾਜ	Makedonien
ਅਲਬਾਨੀਆ	Albanien
ਗਰੀਨਲੈਂਡ	Grönland
ਕ੍ਰੋਏਸ਼ੀਆ	Kroatien
ਬੋਸਨੀਆ ਅਤੇ ਹਰਜ਼ੇਗੋਵੀਨਾ	Bosnien och Hercegovina
ਨੂਕ	Nuuk
ਅਜ਼ਰਬਾਈਜਾਨ	Azerbajdzjan
ਅੰਡੋਰਾ	Andorra
ਸਾਇਪ੍ਰਸ	Cypern
ਜਾਰਜੀਆ (ਦੇਸ਼)	Georgien
ਕਜ਼ਾਖ਼ਸਤਾਨ	Kazakstan
ਮਾਲਟਾ	Malta
ਮੋਨਾਕੋ	Monaco
ਮੋਂਟੇਨੇਗਰੋ	Montenegro
ਵੈਟੀਕਨ ਸ਼ਹਿਰ	Vatikanstaten
ਸਾਨ ਮਰੀਨੋ	San Marino
ਬਰੱਸਲਸ (ਸ਼ਹਿਰ)	Bryssel (region)
ਕਿਊਬਾ	Kuba
ਬੇਲੀਜ਼	Belize
ਆਈਫ਼ਲ ਟਾਵਰ	Eiffeltornet
ਬਾਰਬਾਡੋਸ	Barbados
ਫ਼ੌਕਸਵੈਗਨ	Volkswagen
ਇਨਟੈੱਲ	Intel
ਜਾਵਾ (ਪ੍ਰੋਗਰਾਮਿੰਗ ਭਾਸ਼ਾ)	Java (programspråk)
ਇੰਡੋਨੇਸ਼ੀਆ	Indonesien
ਵੋਲਫ਼ਗਾਂਗ ਆਮਾਡੇਅਸ ਮੋਜ਼ਾਰਟ	Wolfgang Amadeus Mozart
ਲੁਡਵਿਗ ਵਾਨ ਬੀਥੋਵਨ	Ludwig van Beethoven
ਤੁਰਕ ਭਾਸ਼ਾ	Turkiska
ਦੱਖਣੀ ਅਫ਼ਰੀਕਾ	Sydafrika
ਅਲਜੀਰੀਆ	Algeriet
ਉਜ਼ਬੇਕਿਸਤਾਨ	Uzbekistan
ਤਾਸ਼ਕੰਤ	Tasjkent
ਵਾਰਸਾ	Warszawa
ਵਾਈਨ	Vin
ਪਾਣੀ	Vatten
ਚਮੜਾ	Läder
ਲੱਕੜ	Trä
ਟੀਵੀ	Television
ਫ਼ਾਹਸ਼ ਰਚਨਾ	Pornografi
ਕਲੌਦ ਮੋਨੇ	Claude Monet
ਡਿਏਗੋ ਵੇਲਾਕਿਉਜ	Diego Velázquez
ਚੀਲੇ	Chile
ਈਸਾ ਮਸੀਹ	Jesus
ਗੈਲੀਲਿਓ ਗੈਲੀਲੀ	Galileo Galilei
ਬੁੱਧ (ਗ੍ਰਹਿ)	Merkurius
ਇਤਿਹਾਸ	Historia
ਐਪਲ	Apple Inc.
ਭਾਸ਼ਾ	Språk
ਪਿਆਰ	Kärlek
ਤਾਨਾਸ਼ਾਹੀ	Diktatur
ਅਕਾਸ਼ਗੰਗਾ	Galax
ਬ੍ਰਹਿਸਪਤ (ਗ੍ਰਹਿ)	Jupiter
ਮਿਸ਼ੇਲ ਬਾਚੇਲੇਤ	Michelle Bachelet
ਮਿਲਕੀ ਵੇ	Vintergatan
ਮਹਾਂ ਧਮਾਕਾ	Big Bang
ਯੁਰੇਨਸ (ਗ੍ਰਹਿ)	Uranus
ਅੰਗਰੇਜ਼ੀ ਵਿਕੀਪੀਡੀਆ	Engelskspråkiga Wikipedia
ਵਰੁਣ (ਗ੍ਰਹਿ)	Neptunus
ਤਾਰਾ ਵਿਗਿਆਨ	Astronomi
ਸਿੰਗਾਪੁਰ	Singapore
ਵਿਗਿਆਨ	Vetenskap
ਪਲੂਟੋ	Pluto
ਮਾਂਟਰੀਆਲ	Montréal
ਆਜ਼ਾਦ ਸਾਫ਼ਟਵੇਅਰ	Fri programvara
ਕੁਆਰੀ ਮਰੀਅਮ	Jungfru Maria
ਲੀਖਟਨਸ਼ਟਾਈਨ	Liechtenstein
ਖੇਡ	Sport
ਕੈਂਬਰਿਜ	Cambridge
ਅਡੋਲਫ ਹਿਟਲਰ	Adolf Hitler
ਫ਼ੇਸਬੁੱਕ	Facebook
ਵਿਕੀਲੀਕਸ	Wikileaks
ਪਹਿਲੀ ਸੰਸਾਰ ਜੰਗ	Första världskriget
ਦੂਜੀ ਸੰਸਾਰ ਜੰਗ	Andra världskriget
ਕਲਨ	Köln
ਭ੍ਰਿਸ਼ਟਾਚਾਰ	Korruption
ਘੜੀ	Ur
ਉਬੁੰਟੂ (ਆਪਰੇਟਿੰਗ ਸਿਸਟਮ)	Ubuntu
ਸਕੋਪੀਏ	Skopje
ਲਿਨਕਸ	Linux
ਹਿਸਾਬ	Matematik
ਬਹਿਰੀਨ	Bahrain
ਅਰਮੀਨੀਆ	Armenien
ਕੀਲਾਕਾਰ ਲਿਪੀ	Kilskrift
ਹਿਗਜ਼ ਬੋਸੌਨ	Higgsboson
ਸਰਬੀਆ	Serbien
ਚੰਦਰਮਾ	Månen
ਇਸਤਾਨਬੁਲ	Istanbul
ਆਸਟਰੇਲੀਆ	Australien
ਬਾਬ ਮਾਰਲੇ	Bob Marley
ਭੌਤਿਕ ਵਿਗਿਆਨ	Fysik
ਅਰਜਨਟੀਨਾ	Argentina
ਪੇਰੂ	Peru
ਜੀਵ ਵਿਗਿਆਨ	Biologi
ਉੱਡਣ ਤਸ਼ਤਰੀ	Ufo
ਉੱਤਰੀ ਕੋਰੀਆ	Nordkorea
ਕੰਬੋਡੀਆ	Kambodja
ਪਸ਼ੂ ਅਧਿਕਾਰ	Djurrätt
ਕੁਰਾਨ	Koranen
ਡਾਈਨੋਸੌਰ	Dinosaurier
ਜੰਤੂ ਵਿਗਿਆਨ	Zoologi
ਇਸਲਾਮ	Islam
ਲਿਊਬਲਿਆਨਾ	Ljubljana
ਬਨਸਪਤੀ ਵਿਗਿਆਨ	Botanik
ਦੇਨੀ ਦਿਦਰੋ	Denis Diderot
ਅਮਨ	Fred
ਇਨਸਾਈਕਲੋਪੀਡੀਆ ਬ੍ਰਿਟੈਨਿਕਾ	Encyclopædia Britannica
ਲਿਓਂ	Lyon
ਯੂਰਪੀ ਸੰਘ	Europeiska unionen
ਇੰਟਰਨੈੱਟ ਅਰਕਾਈਵ	Internet Archive
ਰੋਨ-ਆਲਪ	Rhône-Alpes
ਵਰਲਡ ਵਾਈਡ ਵੈੱਬ	World Wide Web
ਔਰਤ	Kvinna
ਸੋਫ਼ੀਆ	Sofia
ਦੌਨ ਕੀਖ਼ੋਤੇ	Don Quijote
ਕਵਿਤਾ	Poesi
ਆਰਥਰ ਰਿੰਬੋ	Arthur Rimbaud
ਨਿੰਬੂ	Citron
ਸ਼ਾਰਲ ਬੌਦੇਲੈਰ	Charles Baudelaire
ਸਤੇਂਦਾਲ	Stendhal
ਐਮਿਲ ਜ਼ੋਲਾ	Émile Zola
ਮਾਊਂਟ ਐਵਰੈਸਟ	Mount Everest
ਅੰਗ ਵਿਗਿਆਨ	Anatomi
ਸ਼ਹਿਰ	Stad
ਨਪੋਲੀਅਨ	Napoleon I
ਤਾਰਾ	Stjärna
ਸੂਰਜ	Solen
ਅਕਾਸ਼	Himmel
ਪ੍ਰਕਾਸ਼-ਸਾਲ	Ljusår
ਪਿੰਡ	By
ਵਿਕਤੋਰ ਊਗੋ	Victor Hugo
ਓਸ਼ੇਨੀਆ	Oceanien
ਜੂਜ਼ੈੱਪੇ ਗਾਰੀਬਾਲਦੀ	Giuseppe Garibaldi
ਅਥਲੈਟਿਕਸ	Friidrott
ਸੂਰਜ ਮੰਡਲ	Solsystemet
ਬਾਲਟਿਕ ਸਮੁੰਦਰ	Östersjön
ਸ਼ਾਂਜ਼-ਏਲੀਜ਼ੇ	Champs-Élysées
ਹਾਈਡਰੋਜਨ	Väte
ਹੀਲੀਅਮ	Helium
ਵਿਕੀਮੀਡੀਆ ਕਾਮਨਜ਼	Wikimedia Commons
ਐਂਜਿਲਾ ਮੇਰਕਲ	Angela Merkel
ਲਿਥੀਅਮ	Litium
ਬੇਰਿਲੀਅਮ	Beryllium
ਕਿਤਾਬ	Bok
ਦਿਨ	Dygn
ਪੂਰਬੀ ਤਿਮੋਰ	Östtimor
ਰਾਤ	Natt
ਸਾਲ	År
ਸਦੀ	Sekel
ਰਾਈਨ ਦਰਿਆ	Rhen
ਓਸਲੋ	Oslo
ਬੌਨ	Bonn
ਬਲੈਕ ਹੋਲ	Svart hål
ਲਿਸਬਨ	Lissabon
ਰੋਨ ਦਰਿਆ	Rhône
ਦੁਬਈ	Dubai
ਲਿਓਨਲ ਮੈਸੀ	Lionel Messi
ਬੋਰਾਨ	Bor
ਕਾਰਬਨ	Kol
ਵੋਲਗਾ ਦਰਿਆ	Volga
ਨਾਈਟਰੋਜਨ	Kväve
ਆਕਸੀਜਨ	Syre
ਇੰਟਰ ਮਿਲਣ	FC Internazionale Milano
ਗ੍ਰਹਿ	Planet
ਸੰਗੀਤ	Musik
ਵੈਨਿਸ	Venedig
ਲੀਲ	Lille
ਮਾਸਕੋ	Moskva
ਫ਼ਲੋਰੀਨ	Fluor
ਇਤਾਲਵੀ ਭਾਸ਼ਾ	Italienska
ਨੀਆਨ	Neon
ਚੀਵਾਵਾ (ਰਾਜ)	Chihuahua (delstat)
ਸੇਂਟ ਪੀਟਰਸਬਰਗ	Sankt Petersburg
ਚਾਡ	Tchad
ਸੋਡੀਅਮ	Natrium
ਉੱਤਰ	Norr
ਮੈਗਨੀਸ਼ੀਅਮ	Magnesium
ਐਲਮੀਨੀਅਮ	Aluminium
ਨਿਊਜ਼ੀਲੈਂਡ	Nya Zeeland
ਦੱਖਣ	Söder
ਭਾਰਤ	Indien
ਸਿਲੀਕਾਨ	Kisel
ਫ਼ਰਾਂਸੀਅਮ	Francium
ਤੁਵਾਲੂ	Tuvalu
ਫ਼ਾਸਫ਼ੋਰਸ	Fosfor
ਲੋਹਾ	Järn
ਟੋਂਗਾ	Tonga
ਪੱਛਮ	Väster
ਗੰਧਕ	Svavel
ਸਮੋਆ	Samoa
ਪੂਰਬ	Öster
ਸੋਲੋਮਨ ਟਾਪੂ	Salomonöarna
ਵਨੁਆਤੂ	Vanuatu
ਮੋਲੀਏਰ	Molière
ਕਲੋਰੀਨ	Klor
ਪਾਪੂਆ ਨਿਊ ਗਿਨੀ	Papua Nya Guinea
ਵਿਲੀਅਮ ਸ਼ੇਕਸਪੀਅਰ	William Shakespeare
ਪਲਾਊ	Palau
ਆਰਗਾਨ	Argon
ਨਾਉਰੂ	Nauru
ਫ਼ਾਇਰਫ਼ੌਕਸ	Mozilla Firefox
ਪਰੀ ਕਥਾ	Saga
ਮਾਈਕ੍ਰੋਨੇਸ਼ੀਆ ਦੇ ਸੰਘੀ ਰਾਜ	Mikronesiens federerade stater
ਪੋਟਾਸ਼ੀਅਮ	Kalium
ਓਲੰਪੀਕ ਲਿਉਨੇ	Olympique Lyonnais
ਕੈਲਸ਼ੀਅਮ	Kalcium
ਸਿੱਕਾ	Bly
ਮਾਰਸ਼ਲ ਟਾਪੂ	Marshallöarna
ਕਿਰੀਬਾਸ	Kiribati
ਮੰਗੋਲੀਆ	Mongoliet
ਫ਼ਿਜੀ	Fiji
ਸਕੈਂਡੀਅਮ	Skandium
ਟਾਈਟੇਨੀਅਮ	Titan
ਵੈਨੇਜ਼ੁਐਲਾ	Venezuela
ਸ਼ਤਰੰਜ	Schack
ਚੰਗੇਜ਼ ਖ਼ਾਨ	Djingis khan
ਵੈਨੇਡੀਅਮ	Vanadin
ਮੇਨ	Maine
ਕਰੋਮੀਅਮ	Krom
ਘੋੜਾ	Häst
ਅਮਸਤੱਰਦਮ	Amsterdam
ਹਥਿਆਰ	Vapen
ਜੰਤੂ	Djur
ਸੂਰੀਨਾਮ	Surinam
ਮੈਂਗਨੀਜ਼	Mangan
ਪੈਰਾਗੁਏ	Paraguay
ਗੁਇਆਨਾ	Guyana
ਕਲਾ	Konst
ਏਕੁਆਦੋਰ	Ecuador
ਰੀਨੀਅਮ	Rhenium
ਕੋਲੰਬੀਆ	Colombia
ਕੋਬਾਲਟ	Kobolt
ਟੰਗਸਟਨ	Volfram
ਨਿਕਲ	Nickel
ਬੁੱਧ ਧਰਮ	Buddhism
ਬੋਲੀਵੀਆ	Bolivia
ਓਸਮੀਅਮ	Osmium
ਤਾਂਬਾ	Koppar
ਤ੍ਰਿਨੀਦਾਦ ਅਤੇ ਤੋਬਾਗੋ	Trinidad och Tobago
ਬੂਟਾ	Växt
ਸੇਂਟ ਵਿਨਸੈਂਟ ਅਤੇ ਗ੍ਰੇਨਾਡੀਨਜ਼	Saint Vincent och Grenadinerna
ਜਿਸਤ	Zink
ਨਿਊ ਹੈਂਪਸ਼ਰ	New Hampshire
ਸੇਂਟ ਲੂਸੀਆ	Saint Lucia
ਲਿਓਨਾਰਦੋ ਦਾ ਵਿੰਚੀ	Leonardo da Vinci
ਸੇਂਟ ਕਿਟਸ ਅਤੇ ਨੇਵਿਸ	Saint Kitts och Nevis
ਉੱਲੀ	Svampar
ਦਾਰੀਓ ਫ਼ੋ	Dario Fo
ਜਮੈਕਾ	Jamaica
ਗ੍ਰੇਨਾਡਾ	Grenada
ਮੈਸਾਚੂਸਟਸ	Massachusetts
ਗੁਆਤੇਮਾਲਾ	Guatemala
ਬਹਾਮਾਸ	Bahamas
ਕਨੈਟੀਕਟ	Connecticut
ਐਂਟੀਗੁਆ ਅਤੇ ਬਰਬੂਡਾ	Antigua och Barbuda
ਹਵਾਈ	Hawaii
ਹਾਂਡੂਰਾਸ	Honduras
ਡੋਮਿਨਿਕਾ	Dominica
ਜਰਸੀ	Jersey
ਡੋਮਿਨਿਕਾਈ ਗਣਰਾਜ	Dominikanska republiken
ਆਰਕਟਿਕ ਮਹਾਂਸਾਗਰ	Norra ishavet
ਹੈਤੀ	Haiti
ਸਾਲਵਾਦੋਰ	El Salvador
ਇਰਾਨ	Iran
ਇਰਾਕ	Irak
ਅਲਾਸਕਾ	Alaska
ਸਿਆਣਪ	Visdom
ਕੋਸਤਾ ਰੀਕਾ	Costa Rica
ਇਜ਼ਰਾਇਲ	Israel
ਪਨਾਮਾ	Panama
ਯਮਨ	Jemen
ਵਿਸ਼ਾਣੂ	Virus
ਪੋਲਿਸ਼ ਭਾਸ਼ਾ	Polska
ਜਾਰਡਨ	Jordanien
ਨਿਕਾਰਾਗੁਆ	Nicaragua
ਫ਼ਲੌਰਿਡਾ	Florida
ਕਿਰਗਿਜ਼ਸਤਾਨ	Kirgizistan
ਐਰੀਜ਼ੋਨਾ	Arizona
ਕੁਵੈਤ	Kuwait
ਲਾਉਸ	Laos
ਲਿਬਨਾਨ	Libanon
ਔਰੇਗਨ	Oregon
ਮਾਲਦੀਵ	Maldiverna
ਅਮਰੀਕਾ (ਮਹਾਂ-ਮਹਾਂਦੀਪ)	Amerika
ਯੂਟਾ	Utah
ਮਲੇਸ਼ੀਆ	Malaysia
ਮਿਖਾਇਲ ਬੁਲਗਾਕੋਵ	Michail Bulgakov
ਮਿਆਂਮਾਰ	Burma
ਨੇਪਾਲ	Nepal
ਉਮਾਨ	Oman
ਪਾਕਿਸਤਾਨ	Pakistan
ਕਤਰ	Qatar
ਗੇਂਦ-ਛਿੱਕਾ	Tennis
ਸਾਊਦੀ ਅਰਬ	Saudiarabien
ਸ੍ਰੀਲੰਕਾ	Sri Lanka
ਜੋਸਿਫ਼ ਸਟਾਲਿਨ	Josef Stalin
ਸੀਰੀਆ	Syrien
ਅਫਲਾਤੂਨ	Platon
ਗੈਲੀਅਮ	Gallium
ਤਾਜਿਕਸਤਾਨ	Tadzjikistan
ਤਾਇਵਾਨ	Taiwan
ਯੂਟਿਊਬ	Youtube
ਜਰਮੇਨੀਅਮ	Germanium
ਅਰਸਤੂ	Aristoteles
ਥਾਈਲੈਂਡ	Thailand
ਸੰਖੀਆ	Arsenik
ਮੇਰਿਲ ਸਟਰੀਪ	Meryl Streep
ਤੁਰਕਮੇਨਸਤਾਨ	Turkmenistan
ਅਬਾਕਾਨ	Abakan
ਸਿਲੀਨੀਅਮ	Selen
ਇਰੀਡੀਅਮ	Iridium
ਸੰਯੁਕਤ ਅਰਬ ਇਮਰਾਤ	Förenade Arabemiraten
ਬ੍ਰੋਮੀਨ	Brom
ਪਲੈਟੀਨਮ	Platina
ਵੀਅਤਨਾਮ	Vietnam
ਚਾਰਲੀ ਚੈਪਲਿਨ	Charlie Chaplin
ਦੱਖਣੀ ਕੋਰੀਆ	Sydkorea
ਕ੍ਰਿਪਟਾਨ	Krypton
ਅਫਗਾਨਿਸਤਾਨ	Afghanistan
ਗੰਗਨਮ ਸਟਾਈਲ	Gangnam Style
ਰੁਬੀਡੀਅਮ	Rubidium
ਸੋਨਾ	Guld
ਸੁਏਸ ਨਹਿਰ	Suezkanalen
ਵਿਗਿਆਨੀ	Vetenskapsman
ਬੰਗਲਾਦੇਸ਼	Bangladesh
ਫ਼ਰੈਂਜ਼ ਕਾਫ਼ਕਾ	Franz Kafka
ਹੋਰਹੇ ਲੂਈਸ ਬੋਰਗੇਸ	Jorge Luis Borges
ਮਾਲੀ	Mali
ਸੁਕਰਾਤ	Sokrates
ਵੋਲਗਾਗਰਾਡ	Volgograd
ਅੰਗੋਲਾ	Angola
ਭੂਟਾਨ	Bhutan
ਟਵਿਟਰ	Twitter
ਬਰੂਨਾਈ	Brunei
ਤਨਜ਼ਾਨੀਆ	Tanzania
ਪਾਰਾ	Kvicksilver
ਫਿਲੀਪੀਨਜ਼	Filippinerna
ਮੱਧ ਅਫਰੀਕੀ ਗਣਰਾਜ	Centralafrikanska republiken
ਥੈਲੀਅਮ	Tallium
ਆਇਜ਼ਕ ਨਿਊਟਨ	Isaac Newton
ਅਲਬਰਟ ਆਈਨਸਟਾਈਨ	Albert Einstein
ਸਟਰੌਂਸ਼ਮ	Strontium
ਬਿਸਮਥ	Vismut
ਪੀਲ਼ਾ (ਰੰਗ)	Gul
ਮਿਕਦਾਰ ਮਕੈਨਕੀ	Kvantmekanik
ਟੋਗੋ	Togo
ਤੁਨੀਸੀਆ	Tunisien
ਜ਼ਾਂਬੀਆ	Zambia
ਜ਼ਿੰਬਾਬਵੇ	Zimbabwe
ਬੀਜਿੰਗ	Peking
ਦੱਖਣੀ ਸੁਡਾਨ	Sydsudan
ਬੇਨਿਨ	Benin
ਬੋਤਸਵਾਨਾ	Botswana
ਬੁਰਕੀਨਾ ਫ਼ਾਸੋ	Burkina Faso
ਬੁਰੂੰਡੀ	Burundi
ਕਾਮਾਰੋਸ	Komorerna
ਕਾਂਗੋ ਗਣਰਾਜ	Kongo-Brazzaville
ਓਬ ਦਰਿਆ	Ob
ਕਾਂਗੋ ਲੋਕਤੰਤਰੀ ਗਣਰਾਜ	Kongo-Kinshasa
ਸਾਨ ਆਂਤੋਨੀਓ	San Antonio
ਜਿਬੂਤੀ	Djibouti
ਮੀਮ	Mem
ਪੋਲੋਨੀਅਮ	Polonium
ਬਾਈਆਨ	Bayern
ਭੂ-ਮੱਧ ਰੇਖਾਈ ਗਿਨੀ	Ekvatorialguinea
ਬਾਡਨ-ਵਰਟਮਬਰਕ	Baden-Württemberg
ਇਰੀਤਰੀਆ	Eritrea
ਨਵੀਂ ਦਿੱਲੀ	New Delhi
ਫ਼ਿਓਦਰ ਦਾਸਤੋਵਸਕੀ	Fjodor Dostojevskij
ਤਬੀਲਿਸੀ	Tbilisi
ਐਸਟਾਟੀਨ	Astat
ਗਬਾਨ	Gabon
ਮੋਹਨਦਾਸ ਕਰਮਚੰਦ ਗਾਂਧੀ	Mahatma Gandhi
ਕੌਮਿਕਸ	Tecknad serie
ਗਾਂਬੀਆ	Gambia
ਗਿਨੀ	Guinea
ਗਿਨੀ-ਬਿਸਾਊ	Guinea-Bissau
ਦੰਦ ਖੰਡ ਤਟ	Elfenbenskusten
ਕੈਮਰੂਨ	Kamerun
ਕੇਪ ਵਰਦੇ	Kap Verde
ਲਿਸੋਥੋ	Lesotho
ਲਾਈਬੇਰੀਆ	Liberia
ਲੀਬੀਆ	Libyen
ਮਾਦਾਗਾਸਕਰ	Madagaskar
ਮਲਾਵੀ	Malawi
ਸ਼ਟੁੱਟਗਾਟ	Stuttgart
ਮੌਰੀਤਾਨੀਆ	Mauretanien
ਮਾਰੀਸ਼ਸ	Mauritius
ਮੋਰਾਕੋ	Marocko
ਮੋਜ਼ੈਂਬੀਕ	Moçambique
ਨਮੀਬੀਆ	Namibia
ਨਾਈਜਰ	Niger
ਨਾਈਜੀਰੀਆ	Nigeria
ਚਾਰਲਸ ਡਾਰਵਿਨ	Charles Darwin
ਯੁਗਾਂਡਾ	Uganda
ਰਵਾਂਡਾ	Rwanda
ਜ਼ਰਕੋਨੀਅਮ	Zirkonium
ਸਾਓ ਤੋਮੇ ਅਤੇ ਪ੍ਰਿੰਸੀਪੀ	São Tomé och Príncipe
ਸੇਨੇਗਲ	Senegal
