ئافرىقا	Afrika
بارىي	Barium
تورىي	Torium
گافنىي	Hafnium
ئاكتىنىي	Aktinium
تانتال	Tantal
بىل كلىنتون	Bill Clinton
رادىي	Radium
رادون	Radon
Bombay	Bombay
Michigan Shitati	Michigan
پوئېرتو رىكو	Puerto Rico
Illinoyiz Shitati	Illinois
Shimaliy Dakota Shitati	North Dakota
لومبارد	Lombardiet
Jenubiy Dakota Shitati	South Dakota
Montana Shitati	Montana
Wyoming Shitati	Wyoming
قۇدس	Jerusalem
Aydaxo Shitati	Idaho
Washin'giton Shitati	Washington (delstat)
رۇزېرفوردىي	Rutherfordium
Néwada shitati	Nevada
دۇبنىي	Dubnium
سىبورگىي	Seaborgium
بوھرىي	Bohrium
ھاسسىي	Hassium
مېيتنېرىي	Meitnerium
Kolorado Shitati	Colorado
دارمستادتىي	Darmstadtium
رۆنتگېنىي	Röntgenium
كوپېرنىي	Copernicium
تۈر:تۈرلەر يولباشچىسى	Kategori:Topp
ئاپېنىن تاغ تىزمىسى	Apenninerna
ئالپ تاغلىرى	Alperna
پاسكال	Blaise Pascal
Gant	Gent
Chikago	Chicago
ئۇنۇنترىي	Ununtrium
فلېروۋىي	Flerovium
ئۇنۇنپېنتىي	Ununpentium
لىۋىرمورىي	Livermorium
ئۇنۇنسېپتىي	Ununseptium
ئۇنۇنئوكتىي	Ununoktium
Arném	Arnhem
ئىسپان تىلى	Spanska
مونتېۋىدېئو	Montevideo
Filadélfiye	Philadelphia
Kalkutta	Calcutta
Déhli	Delhi
داكا	Dhaka
Ban'galor	Bangalore
Ömüchük	Spindlar
ئىسلامئاباد	Islamabad
ظاصتاص يئضةن مئؤة	Frukt
Wirginiye Shitati	Virginia
غەربىي ۋىرگىنىيە شىتاتى	West Virginia
Nyuyork Shitati	New York (delstat)
سېرىي	Cerium
پرازېئودىمىي	Praseodym
Rodé Arili Shitati	Rhode Island
نېئودىي	Neodym
Maryland Shitati	Maryland
Délawiyer Shitati	Delaware
يېۋروپىي	Europium
Oxayo Shtati	Ohio
Pénsilwaniye Shitati	Pennsylvania
Yéngi Jérséy Shtati	New Jersey
فىنلاندىيە تىلى	Finska
Indiyanna Shitati	Indiana
ئاپتوموبىل	Bil
Giorgiye Shitati	Georgia
Zagréb	Zagreb
Téksas Shitati	Texas
Jenubiy Karolina Shitati	South Carolina
سىتسىلىيە	Sicilien
مانىلا	Manila
ساردىنىيە ئارىلى	Sardinien
Bordo	Bordeaux
Buénos Ayrés	Buenos Aires
مېكسىكا شەھىرى	Mexico City
توكيو	Tokyo prefektur
Barsélona	Barcelona
Missisipi Shitati	Mississippi
Ténnéssi Shitati	Tennessee
Astana	Astana
Yéngi Méksika Shitati	New Mexico
ئافېنا	Aten
Minnésota Shitati	Minnesota
باغداد	Bagdad
Karakas	Caracas
Wiskonsin Shitati	Wisconsin
Puna	Pune
AC مىلان	AC Milan
Lowa Shitati	Iowa
Nébraska Shitati	Nebraska
گۋاتېمالا شەھىرى	Guatemala City
Kanzas Shitati	Kansas
ھىندى تىلى	Hindi
ماراتىچە	Marathi
Missori Shitati	Missouri
Loyizanna Shitati	Louisiana
Kéntukki Shitati	Kentucky
Arkanzas Shtati	Arkansas
ئوردو تىلى	Urdu
Oklaxoma Shitati	Oklahoma
Potsdam	Potsdam
Hanofér	Hannover
Myunxén	München
Drézdén	Dresden
ۋالىبول	Volleyboll
Wyéna	Wien
Kopénhagén	Köpenhamn
Stokgolm	Stockholm
Xélsinki	Helsingfors
دۇبلىن	Dublin
رېيكياۋىك	Reykjavik
Tallin	Tallinn
رىگا	Riga
براتىسلاۋا	Bratislava
Budapésht	Budapest
Danzig	Gdańsk
Frankfort	Frankfurt am Main
Wroklaw	Wrocław
لانتان	Lantan
جۈي	Prometium
چالغا	Samarium
گادولنىي	Gadolinium
تېربىي	Terbium
Katolik dini	Katolicism
ليۇكسېمبۇرگ شەھىرى	Luxemburg (stad)
دىسپروزىي	Dysprosium
ۋادۇز	Vaduz
ئىنجىل	Bibeln
گولمىي	Holmium
ئېربىي	Erbium
فنوم پېن	Phnom Penh
تۇلىي	Tulium
سايگون	Ho Chi Minh-staden
ئىتتېربىي	Ytterbium
لۇتېتسىي	Lutetium
خانوي	Hanoi
ھەقىقى ئەيسا چېركاۋى	The True Jesus Church
ئىنگىلىز تىلى	Engelska
Bangkok	Bangkok
ئاندوررا كەنتى	Andorra la Vella
كۇئالالۇمپۇر	Kuala Lumpur
تەيبېي شەھىرى	Taipei
ئامېرىتسىي	Americium
كىيۇرىي	Curium
Concepción, Chile	Concepción, Chile
بېركېلىي	Berkelium
كالىفورنىي	Californium
ئېينشتېينىي	Einsteinium
فېرمىي	Fermium
مېندېلېيېۋىي	Mendelevium
كىيېۋ	Kiev
نوبېلىي	Nobelium
لاۋرېنسىي	Lawrencium
كارېلىيە	Karelska republiken
Ottawa	Ottawa
Manitoba Ölkisi	Manitoba
Albérta	Alberta
Nowa Skotiye Ölkisi	Nova Scotia
يېرېۋان	Jerevan
دارېسسالام	Dar es-Salaam
خارتۇم	Khartoum
Yéngi Brunswik Ölkisi	New Brunswick
Britani Kolumbiye	British Columbia
Saskachéwan	Saskatchewan
Néwfundland Ölkisi	Newfoundland och Labrador
Gherbiy Shimal Rayoni	Northwest Territories
Yukon Rayoni	Yukon
Florénsa	Florens
Ésén	Essen
كومى	Komi (delrepublik)
Léypzig	Leipzig
Nyurnbérg	Nürnberg
Édmonton	Edmonton
Man'géym	Mannheim
Wiktoriye, Britani Kolumbiye	Victoria, British Columbia
Winnipég	Winnipeg
Halifaks	Halifax, Nova Scotia
Kwébék Shehiri	Québec (stad)
ئېلېكترون	Elektron
Birmin'gxam	Birmingham
مىنىسكى	Minsk
مىكروسوفىت شىركىتى	Microsoft
پروتون	Proton
Kurow	Kurów
Naplés	Neapel
Braunshwéyg	Braunschweig
Madrid	Madrid
سۇ ئاستى كېمىسى	Ubåt
مايكېل جېكسۇن	Michael Jackson
Bogota	Bogotá
لىما	Lima
Santiyago	Santiago de Chile
كىتو	Quito
سۇكرې	Sucre
ئاسۇنسىئون	Asunción
Öçke	Tamget
Héydélbérg	Heidelberg
كاتماندۇ	Katmandu
سان خوسې (كوستارىكا)	San José, Costa Rica
سان سالۋادور	San Salvador
Kanbérra	Canberra
Sidnéy	Sydney
يېشىل رەڭ	Grön
Mélburn	Melbourne
قىزىل رەڭ	Röd
ماناگۇئا	Managua
رابات	Rabat
قۇيرۇقلۇق يۇلتۇز	Komet
ئالجىر	Alger, Algeriet
تۇنىس شەھىرى	Tunis
ترىپولى	Tripoli
تېھران	Teheran
جاكارتا	Jakarta
Enqere	Ankara
رىياد	Riyadh
بېلگراد	Belgrad
ئادىگېيە	Adygeiska republiken
پرايا	Praia
دەمەشىق	Damaskus
يامۇسسۇكرو	Yamoussoukro
فرانسىيىگە قاراشلىق گۋىئانا	Franska Guyana
لومې	Lomé
ئاممان	Amman
بېيرۇت	Beirut
مۇسكات	Muskat
نىكوسىيە	Nicosia
دوھا	Doha
نايروبى	Nairobi
لۇساكا	Lusaka
ئامازون	Amazon.com
قۇياش تۇتۇلۇشى	Solförmörkelse
كامپالا	Kampala
Mektep	Skola
ھارارې	Harare
Prétoriye	Pretoria
Astiraxan	Astrachan
Tiktak top	Bordtennis
Wikipedia:Sandbox	Wikipedia:Sandlådan
قالماقىستان	Kalmuckien
Osasko	Osasco
Glasgow	Glasgow
Kuritiba	Curitiba
Orman	Skog
بوغاز كۆۋرۈكى	Bosporenbron
كۇڭزى	Konfucius
كوربين بيلو	Corbin Bleu
Surat	Surat
ياۋرۇ	Euro
ئامېرىكا دولىرى	Amerikansk dollar
يەر ئوتتۇرا دېڭىزى	Medelhavet
خاڭجۇ شەھىر	Hangzhou
مەسىھچىلىك	Kristendom
قېلىپ:ئاسىيا	Mall:Asien
Séatl	Seattle
Baltimor	Baltimore
ئادېلايدې	Adelaide
داغىستان	Dagestan
Monzón	Monzón
گۇجارات تىل	Gujarati
پورتۇگال تىلى	Portugisiska
مۇستاپا كامال	Mustafa Kemal Atatürk
چېچېنىيە	Tjetjenien
كۋېچۇئا تىلى	Quechua
ئىنگۇشېتىيە	Ingusjien
شىمالىي ئوسېتىيە	Nordossetien
كاباردىنو-بالقارىستان	Kabardinien-Balkarien
ئالماس	Diamant
ياپون تىلى	Japanska
Énsklopédiye	Uppslagsverk
ئۇيغۇرچە ۋىكىپىدىيە	Portal:Huvudsida
Latex	Latex (typsättningssystem)
كوندېنساتور	Kondensator
قاراچاي-چېركېسىيە	Karatjajen-Tjerkessien
موردوۋىيە	Mordvinien
ۋاسكېتبول	Basket
چاڭجياڭ دەرياسى	Yangtze
ئۇدمۇرتىيە	Udmurtien
مارى	Marij El
ھىمالايا تاغ تىزمىسى	Himalaya
ئاند تاغلىرى	Anderna
قىيىلىق تاغلار	Klippiga bergen
Kapétown	Kapstaden
چۇۋاشىيە	Tjuvasjien
تەڭرىتاغ	Tianshan
كاۋكاز تاغ تىزمىسى	Kaukasus
تاتارىستان	Tatarstan
1279-يىلى	1279
ۋېىنىست	Vincent van Gogh
باشقۇرتىستان	Basjkirien
Semerqend	Samarkand
Buxara	Buchara
بېتلېخېم	Betlehem
Andalusiye	Andalusien
كايمان تاقىم ئاراللىرى	Caymanöarna
Kordowa	Córdoba, Spanien
شىئەن شەھىرى	Xi'an
كابۇل	Kabul
لاسا شەھىرى	Lhasa
غىلاپ	Slida
تامىل تىلى	Tamil
پەلسەپە	Filosofi
ئالەم ئايرۇپىلانى	Rymdfart
ئالتاي تاغ تىزمىسى	Altaj
تۈر:Candidates for speedy deletion	Kategori:Snabbraderingar
ئالتاي	Altajrepubliken
پىئانىنو	Piano
Hebe Camargo	Hebe Camargo
Portland, Orégon	Portland, Oregon
ئانارخىزم	Anarkism
لىبېرالىزىم	Liberalism
فاشىسىت	Fascism
مىللەتچىلىك	Nationalism
غەربىي ساھارا	Västsahara
ھىلاري كلىنتون	Hillary Clinton
خاكاسىيە	Chakassien
Strasburg	Strasbourg
ياكۇتىيە	Sacha
كرودىيە تىلى	Kroatiska
گائۇس	Carl Friedrich Gauss
بۇرياتىيە	Burjatien
جامىس جويىس	James Joyce
كاتالان تىلى	Katalanska
Burχa	Buddha (titel)
دىنسىزلىق	Ateism
لى بەي	Li Bai
دۇنيا بانكىسى	Världsbanken
كونسېرۋاتىپ	Konservatism
شىمالىي ئاتلانتىك ئەھدى تەشكىلاتى	Nato
نوبېل مۇكاپاتى	Nobelpriset
چىن شىخۇاڭ	Qin Shi Huangdi
خەن سۇلالىسى	Handynastin
فېمىنىزم	Feminism
ئىدېئولوگىيە	Ideologi
پەي توپ	Badminton
يۈەن سۇلالىسى	Yuandynastin
كولۇمبو	Christofer Columbus
يەھۇدىلار	Judar
سېرىق دەريا	Gula floden
قۇلاق	Öra
بۇرۇن	Nos
كۆز	Öga
مۇسكۇل	Muskel
Töge	Kameler
چۈمۈلە	Myror
سۈي سۇلالىسى	Suidynastin
گوللاندىيە تىلى	Nederländska
ماگرىت ساچىر	Margaret Thatcher
دېئوكسىرىبونۇكلېئىك كىسلاتا	DNA
سۇڭ سۇلالىسى	Songdynastin
Çeyze	Aubergine
رۇس تىلى	Ryska
ساخالىن	Sachalin
نېفىت ئېكىسپورت قىلغۇچى دۆلەتلەر تەشكىلاتى (OPEC)	Opec
خەلقئارا پۇل فوندى تەشكىلاتى	Internationella valutafonden
دۇنيا سودا تەشكىلاتى	Världshandelsorganisationen
سۋاھىلىچە	Swahili
توكيو ئۇنىۋېرستېتى	Tokyos universitet
خەنزۇ تىلى	Kinesiska
ئۆپكە	Lunga
نەپەسلىنىش سىستېمى	Respirationssystemet
رۇمىنىيە تىلى	Rumänska
بۇلغارىيە تىلى	Bulgariska
يەر تەۋرەش	Jordbävning
ماگادان	Magadan
تەبىئىي پەن	Naturvetenskap
فرانكلىن روزۋېلت	Franklin D. Roosevelt
ﺋﯩﺒﯩﻦ ﺳﯩﻨﺎ	Avicenna
نىلسۇن ماندىلا	Nelson Mandela
مارتىن لوتىر كىڭ	Martin Luther King
Yanardag	Vulkan
ئىسسىق بەلباغ سىكلونى	Tropisk cyklon
تېلۇگۇ تىلى	Telugu
گرۇزىن تىلى	Georgiska
ئىقتىسادشۇناسلىق	Nationalekonomi
يېن	Yen
قىزىل تۈلكە	Rödräv
ئىسكىرىپكا	Violin
چوڭ ئىسكىروپكا	Cello
ئىسكەندەر زۇلقەرنەيىن	Alexander den store
ئۆمەر ئىبنى خەتتاب	Umar ibn al-Khattab
ئامۇ دەرياسى	Amu-Darja
سۈت	Mjölk
سۇن جۇڭشەن	Sun Yat-sen
شياڭگاڭ	Hongkong
Miami	Miami
كاراچى	Karachi
Rio dé Janéyro	Rio de Janeiro
سوغۇق ئۇرۇش	Kalla kriget
شاڭخەي شەھىرى	Shanghai
Bilbaw	Bilbao
Séwéliye	Sevilla
چىڭ سۇلالىسى	Qingdynastin
توماس ئىدىسون	Thomas Edison
ئالبان تىلى	Albanska
باسكى تىلى	Baskiska
ئاراگون تىلى	Aragonska
ئەرمەن تىلى	Armeniska
ئۇكرائىن تىلى	Ukrainska
Walénsiye	Valencia
Malaga	Málaga
شۋېتسىيە تىلى	Svenska
دانىش تىلى	Danska
نورۋېگىيە تىلى	Norska
ليۇكسېمبۇرگ تىلى	Luxemburgiska
چېخ تىلى	Tjeckiska
سلوۋاك تىلى	Slovakiska
كارل ماركىس	Karl Marx
سلوۋېن تىلى	Slovenska
ماجار تىلى	Ungerska
ۋولتىر	Voltaire
ئېستون تىلى	Estniska
لاتۋىيە تىلى	Lettiska
لىتۋا تىلى	Litauiska
ھىندى دىنى	Hinduism
بېلورۇس تىل	Vitryska
يېلىن	Kvinnobröst
ئاتوم	Atom
گرېك تىلى	Grekiska
ئرېلاندىيە تىلى	Iriska
مالتا تىلى	Maltesiska
پارس تىلى	Persiska
ئىسلام	Religion
كورىيەچە	Koreanska
Injilning birinchi tomi	Första Moseboken
كانتونچە	Kantonesiska
ئېكسودۇس	Andra Moseboken
ۋيېتنام تىلى	Vietnamesiska
كخمېر تىلى	Khmer (språk)
لائوس تىلى	Lao
تايلاندچە	Thai
بىرما تىلى	Burmesiska
مالاي تىلى	Malajiska
ھىندونېزىيە تىلى	Indonesiska
موڭغۇل تىلى	Mongoliska
Baku	Baku
قازاق تىلى	Kazakiska
قىرغىز تىلى	Kirgiziska
تاجىك تىلى	Tadzjikiska
ئۆزبېك تىلى	Uzbekiska
تۈركمەن تىلى	Turkmeniska
يەھۇدى دىنى	Judendom
تىمپۇ	Thimphu
باندار سەرى بەگاۋان	Bandar Seri Begawan
ئىبرانى تىلى	Hebreiska
ئەزەربەيجان تىلى	Azerbajdzjanska
ماكېدون تىلى	Makedonska
سېرب تىلى	Serbiska
سېربو-كرودىيىلىكلەر تىلى	Serbokroatiska
بوسنىيە تىلى	Bosniska
گالىسىيەچە	Galiciska
ۋېلش تىلى	Kymriska
دىلى	Dili
شوتلاندىيە گائېل تىلى	Skotsk gäliska
Wyéntyan	Vientiane
مالې	Malé
Bishkek	Bisjkek
Düshenbe	Dusjanbe
جىگەر	Lever
تلا	Mjälte
بۆرەك	Njure
