ʻApelika	Afrika
Chile	Chile
Ukaliali‘i	Merkurius
Hōkūloa	Venus
Ka‘āwela	Jupiter
Hele‘ekela	Uranus
Nepekune	Neptunus
Kilo hōkū	Astronomi
Sinapoa	Singapore
Akeakamai	Vetenskap
Likenekaina	Liechtenstein
Makemakika	Matematik
Baharaina	Bahrain
‘Āmēnia	Armenien
Seripia	Serbien
‘Aukekulelia	Australien
Kālaikūlohea	Fysik
‘Alekina	Argentina
Kālaimeaola	Biologi
Kōlea ʻĀkau	Nordkorea
Kamabodia	Kambodja
Nalala	Dinosaurier
Hoʻomana Mohameka	Islam
Kālailau nahele	Botanik
Sofia	Sofia
Kūlanakauhale	Stad
Lā	Solen
Kahua o nā hōkū	Solsystemet
Haikokene	Väte
Hiliuma	Helium
Likiuma	Litium
Beryllium	Beryllium
Makahiki	År
Oslo	Oslo
Likepona	Lissabon
Rhône (kahawai)	Rhône
Boron	Bor
Kalepona	Kol
Naikokene	Kväve
‘Okikene	Syre
Hōkū hele	Planet
Mokekao	Moskva
Fluorine	Fluor
ʻŌlelo ʻĪkālia	Italienska
Nīane	Neon
Sodiuma	Natrium
Makanekiuma	Magnesium
‘Aluminuma	Aluminium
‘Īnia	Indien
Silikone	Kisel
Pokepola	Fosfor
Sulufura	Svavel
Kolorine	Klor
William Shakespeare	William Shakespeare
‘Aragona	Argon
Potasiuma	Kalium
Kalipuna	Kalcium
Monokolia	Mongoliet
Scandium	Skandium
Titanium	Titan
Vanadium	Vanadin
Maine	Maine
Lio	Häst
Hoʻomana Buda	Buddhism
Nū Hamekia	New Hampshire
Leonardo da Vinci	Leonardo da Vinci
Makakukeka	Massachusetts
Konekikuka	Connecticut
Hawai‘i	Hawaii
Moana ʻĀlika	Norra ishavet
Heiti	Haiti
‘Ilana	Iran
‘Ilaka	Irak
‘Ālaka	Alaska
ʻIseraʻela	Israel
Panamā	Panama
Iemene	Jemen
Ioredāne	Jordanien
Pololika	Florida
Kaikikana	Kirgizistan
‘Alikona	Arizona
Kuete	Kuwait
Laosa	Laos
Lepanona	Libanon
‘Olekona	Oregon
Maladiwa	Maldiverna
Uka	Utah
Malaisia	Malaysia
Puruma	Burma
Nepala	Nepal
ʻOmana	Oman
Pakitana	Pakistan
Katala	Qatar
Saudi ʻAlapia	Saudiarabien
Sililanaka	Sri Lanka
Suria	Syrien
Pokémon	Pokémon
Tailani	Thailand
Wiekanama	Vietnam
‘Apekanikana	Afghanistan
Banagaladesa	Bangladesh
Butana	Bhutan
Brunei	Brunei
ʻĀina Pilipino	Filippinerna
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Tunisia	Tunisien
Beijing	Peking
Burakina Faso	Burkina Faso
ʻElikilea	Eritrea
Mauritiusa	Mauritius
Iulius Caesar	Julius Caesar
Hamepuka	Hamburg
Huli honua	Geologi
Mikikana	Michigan
‘Ilinoe	Illinois
Tulinia	Thüringen
Kakoka ‘Ākau	North Dakota
Kakoka Hema	South Dakota
Monekana	Montana
Waiomina	Wyoming
‘Ikahō	Idaho
Wakinekona	Washington (delstat)
Moana ʻIniana	Indiska oceanen
Kololako	Colorado
ʻAlepa	Alperna
Kikako, ʻIlinoe	Chicago
‘Ōlelo Sepania	Spanska
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Wilikinia	Virginia
Wilikinia Komohana	West Virginia
Nuioka	New York (delstat)
Loke ‘Ailana	Rhode Island
Melelana	Maryland
Kelawea	Delaware
‘Ohaio	Ohio
Penekelewinia	Pennsylvania
Uetersen	Uetersen
Augustus	Augustus
Nū ‘Ieleke	New Jersey
‘Ōlelo Pinilana	Finska
‘Inikiana	Indiana
Keokia (‘Amelika Hui Pū ‘ia)	Georgia
Kekeka	Texas
Kalolaina Hema	South Carolina
Seine	Seine
Buenos Aires	Buenos Aires
Mēkiko D.F.	Mexico City
Mikikipi	Mississippi
Kenekī	Tennessee
Nū Mekiko	New Mexico
‘Akenai	Aten
Minekoka	Minnesota
Wikonekina	Wisconsin
‘Iowa	Iowa
Nepalaka	Nebraska
Kanekaka	Kansas
Mikouli	Missouri
Luikiana	Louisiana
Kenekuke	Kentucky
‘Akanaka	Arkansas
‘Okalahoma	Oklahoma
Makekepuka	Magdeburg
Reykjavík	Reykjavik
Paipala	Bibeln
Thulium	Tulium
Ka Ho‘omana Iesū ‘Oia‘i‘o	The True Jesus Church
‘Ōlelo Pelekania	Engelska
Đồng Hới	Dong Hoi
Concepción, Chile	Concepción, Chile
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2009	2009
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
Lipekika	Leipzig
1998	1998
1999	1999
Kurów	Kurów
Kemika	Kemi
Makelika	Madrid
Lima	Lima
Santiago de Chile	Santiago de Chile
Quito	Quito
Ankara	Ankara
Riyadh	Riyadh
Kamakeko	Damaskus
Amman	Amman
Muscat	Muskat
Wikipedia:Sandbox	Wikipedia:Sandlådan
Wehimala	Weimar
Osasco	Osasco
Dong Hoi Airport	Dong Hoi flygplats
Curitiba	Curitiba
Zichyújfalu	Zichyújfalu
Sarah Bernhardt	Sarah Bernhardt
Mauna Kana Helena	Mount Saint Helens
Mokuhonua	Världsdelar och kontinenter
Kapikala	Huvudstad
Monzón	Monzón
Almazán	Almazán
Puke noi‘i kū‘ikena	Uppslagsverk
Ka papa kinohi	Portal:Huvudsida
Vincent van Gogh	Vincent van Gogh
Frida Kahlo	Frida Kahlo
Michelangelo	Michelangelo
Pablo Picasso	Pablo Picasso
Raffael Santi	Rafael (konstnär)
Rembrandt	Rembrandt
Frank Lloyd Wright	Frank Lloyd Wright
Matsuo Bashō	Basho
Castille a Leon	Kastilien och León
Meka	Mecka
Gabriel García Márquez	Gabriel García Márquez
Johann Wolfgang von Goethe	Johann Wolfgang von Goethe
Māhele:Candidates for speedy deletion	Kategori:Snabbraderingar
Kaumokuʻāina	Land
Homer	Homeros
Hōʻole Akua	Ateism
Kālaikaiaola	Ekologi
Kālaiʻāina	Politik
Aupuni	Regering
Qin Shi Huang	Qin Shi Huangdi
Tolstoi	Lev Tolstoj
Moku‘āina	Stat
ʻŌlelo Lūkini	Ryska
‘Ōlelo Pākē	Kinesiska
Nelson Mandela	Nelson Mandela
Makani Pāhili	Tropisk cyklon
Moʻokalaleo	Litteratur
Māhele:Palani	Kategori:Frankrike
Oboe	Oboe
ʻOlumepika Kauwela ma 2008	Olympiska sommarspelen 2008
Granada	Granada (stad)
ʻĀtoma	Atom
Lāpaki	Kaniner
Mohameka	Muhammed
Burgos	Burgos
Ronald Reagan	Ronald Reagan
‘Ōlelo Zaza	Zazaiska
Māhele:Palakila	Kategori:Brasilien
Kumumea kemikala	Grundämne
‘Ohe kani	Flöjt
ʻAlea	Area
Hulahula	Dans
Papa o nā ʻāina	Lista över självständiga stater
Miranda de Ebro (Burgos)	Miranda de Ebro
Kuli	Dövhet
Santander	Santander, Spanien
Helu piha	Heltal
Malgrat de Mar	Malgrat de Mar
‘Ōlelo ‘Alapia	Arabiska
Tiranosauru	Tyrannosaurus
Terikeratopa	Triceratops
Setegasauru	Stegosaurus
Barakiosauru	Brachiosaurus
Welokirapetoa	Velociraptor
Hae	Flagga
‘Ulu	Brödfruktträd
Aupuni kiwikā	Kommun
Salamanca	Salamanca, Spanien
Zamora (España)	Zamora (stad)
León (España)	León
Anakuhi:Link FA	Mall:Link FA
Welemoneka	Vermont
Houston, Kekeka	Houston
Pēniki	Phoenix
Kakalameko	Sacramento
Honolulu, Hawaiʻi	Honolulu
Kauoha Hou	Nya Testamentet
Rafael Correa	Rafael Correa
Louvre	Louvren
‘Ao‘ao Kū‘oko‘a Pokoliko	Puertoricanska självständighetspartiet
Kalikimaka	Jul
Mo‘ai	Moai
Hoʻolele hualono	Poddradio
Friedrich Schiller	Friedrich Schiller
Jean Auguste Dominique Ingres	Jean-Auguste-Dominique Ingres
Pule	Vecka
Cervidae	Hjortdjur
Pule Alaka‘i A Ka Haku	Herrens bön
Musée d'Orsay	Musée d’Orsay
Mokupuni	Ö (landområde)
Moshchena	Mosjtjena
ʻōhiʻa lomi	Tomat
Paltoga	Paltoga
Panalā‘au o Quảng Binh	Quang Binh
Bryan Cranston	Bryan Cranston
Felidae	Kattdjur
Pichilemu	Pichilemu
Canidae	Hunddjur
Karlstad	Karlstad
Mölnlycke	Mölnlycke
Bovidae	Slidhornsdjur
Phocidae	Öronlösa sälar
ʻAnekelopa	Antiloper
‘Amelika	Amerika (olika betydelser)
Otariidae	Öronsälar
Pinnipedia	Sälar
Zhengzhou	Zhengzhou
Mīkini helu	Miniräknare
Halakepoka	Hartford
‘Ōlelo Hawai‘i	Hawaiiska
Pea kina	Jättepanda
Pae moku	Ögrupp
Valparaíso	Valparaíso
‘Ōlelo Sāmoa	Samoanska
Marlon Brando	Marlon Brando
‘Ōlelo Kahiki	Tahitiska
Wailele ‘o Niakala	Niagarafallen
Mošovce	Mošovce
ʻAperodite	Afrodite
Pauka niho	Tandkräm
Mineapoli	Minneapolis
Apia	Apia
Brigitte Bardot	Brigitte Bardot
Arancón	Arancón
'ōlelo toki pona	Toki pona
Paul Gauguin	Paul Gauguin
Teide	Teide
Kālaiʻelala	Entomologi
ʻAnekilosauru	Ankylosaurus magniventris
Waleluka	Valross
Johannes Vermeer	Johannes Vermeer
Teletubbies	Teletubbies
Kahiki	Tahiti
Israel Kamakawiwoʻole	Israel Kamakawiwoʻole
Johnny Cash	Johnny Cash
Nanahana	Ginkgo
Hesioda	Hesiodos
Molinaseca	Molinaseca
Josepa Samika	Joseph Smith
Pihemanu	Midwayöarna
Paris Hilton	Paris Hilton
Palapola	Parabel (kurva)
Helu kumu	Primtal
Palencia	Palencia (provins)
ʻUkulele	Ukulele
Hawai‘i (mokupuni)	Hawaii (ö)
Georg Philipp Telemann	Georg Philipp Telemann
ʻUlano	Uranos
Coronel Fabriciano	Coronel Fabriciano
Pamela Anderson	Pamela Anderson
Gema	Ädelsten
Nā panalā‘au o Burgos	Kommuner i Burgosprovinsen
Puahōlani	Tulpansläktet
Nā panalā‘au o León	Kommuner i Leonprovinsen
Nikolai Rimsky-Korsakov	Nikolaj Rimskij-Korsakov
Nā panalā‘au o Salamanca	Kommuner i Salamancaprovinsen
Nā panalā‘au o Soria	Kommuner i Soriaprovinsen
Nā panalā‘au o Tarragona	Kommuner i Tarragonaprovinsen
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Nā panalā‘au o Zamora	Kommuner i Zamoraprovinsen
Lili‘uokalani	Lili'uokalani
Joey King	Joey King
X-Men	X-Men
Nika	Nyx
Mauna Kea	Mauna Kea
O‘ahu	Oahu
ʻĀpana	Distrikt
John Singer Sargent	John Singer Sargent
Sesame Street	Sesam (TV-program)
Aupuni Mōʻī o Hawaiʻi	Kungariket Hawaii
Mauna Loa	Mauna Loa
Pat Hingle	Pat Hingle
Frans Hals	Frans Hals
Pō La‘i Ē	Stilla natt
Nuʻuhiwa	Marquesasöarna
Edentata	Trögdjur
Christopher Lee	Christopher Lee
Knoxville, Kenekī	Knoxville, Tennessee
Lāna‘i	Lanai
Carl Larsson	Carl Larsson
Kīlauea	Kilauea
Maui	Maui
Māmā	Tempo (musik)
Christopher Plummer	Christopher Plummer
Mokupuni o Hawai‘i	Hawaiiöarna
Ivan Shishkin	Ivan Sjisjkin
Moloka‘i	Molokai
Nancy Reagan	Nancy Reagan
Almuñécar	Almuñécar
Kaua‘i	Kauai
Tigranes II	Tigran II
Georges de La Tour	Georges de La Tour
Adour	Adour
Ivan Kramskoi	Ivan Kramskoj
Motril	Motril
Roger Ebert	Roger Ebert
John Bauer	John Bauer
Adolfo Suárez	Adolfo Suárez
Thomas Eakins	Thomas Eakins
Kamehameha I	Kamehameha I
Hilo	Hilo
Anggun	Anggun
Kaho‘olawe	Kahoolawe
Kalo	Taro
Makua Kamiano	Fader Damien
Ni‘ihau	Niihau
Guadix	Guadix
Pete Seeger	Pete Seeger
Heleuī	Halloween
Waikīkī	Waikīkī
Brook Mahealani Lee	Brook Lee
O Clone	O Clone
Xuxa	Xuxa
Imelda Marcos	Imelda Marcos
Órgiva	Órgiva
Michael Gough	Michael Gough
Peterosauru	Pterodactylus
Makeima	Macadamiasläktet
Richard Griffiths	Richard Griffiths
Donald Pleasence	Donald Pleasence
Andrew Wyeth	Andrew Wyeth
'Imi loa Dora	Dora utforskaren
Loja	Loja
Hua mele hapawalu	Åttondelsnot
Hua mele ‘oko‘a	Helnot
Hua mele hapahā	Fjärdedelsnot
Kamehameha	Kamehameha
Richard Schiff	Richard Schiff
Pedro de Betancur	Pedro de Betancur
Jeddah	Jeddah
Hua mele hapa kanakolukūmālua	Trettiotvåondelsnot
Kamehameha II	Kamehameha II
Makakilo	Makakilo
Hua mele hapalua	Halvnot
ʻAiea	Aiea
Kamehameha III	Kamehameha III
Buke a Moramona	Mormons bok
Carazo	Carazo (departement)
Pōmare IV	Pomare IV
Alexander ʻIolani Liholiho	Kamehameha IV
Tan Son Nhat International Airport	Tan Son Nhat internationella flygplats
Medinaceli	Medinaceli
Láchar	Láchar
Baza	Baza
Nā kiaʻāina o Hawaiʻi	Lista över guvernörer i Hawaii
Ka'aahi Thomas	Thomas och vännerna
Likaono	Lykaon
Mauna kai	Djuphavsberg
Huahine	Huahine
Honolulu International Airport	Honolulu International Airport
Efrem Zimbalist, Jr.	Efrem Zimbalist, Jr.
Kailua	Kailua
Armilla	Armilla
Maracena	Maracena
Līhuʻe	Lihue
Kailua-Kona	Kailua-Kona
Waipahu	Waipahu
Palapala ‘Āina Honua	Världskarta
Kapaʻa	Kapaa
Sila Hawaiʻi	Hawaiis munksäl
Béjar	Béjar
Kaunakakai	Kaunakakai
ʻOeneusa	Oineus
Backyardigans	The Backyardigans
Ciudad Rodrigo	Ciudad Rodrigo
Aldealafuente	Aldealafuente
Cyclops (Marvel)	Cyclops
Seregélyes	Seregélyes
Insane Clown Posse	Insane Clown Posse
Benavente (Zamora)	Benavente
Haʻikū-Paʻuwela	Haiku-Pauwela
Mamo	Hawaiimamo
Lahaina	Lahaina
Kahului	Kahului
Kīhei	Kihei
Hua mele hapa ‘umikūmāono	Sextondelsnot
Pele	Pelé (gudinna)
Lōʻihi	Loihi Seamount
Kartlis Deda	Kartlis Deda
Wikipedia:Nohona kuhina	Wikipedia:Ambassaden
Manuae	Manuae (Franska Polynesien)
Māhele:Kelemānia	Kategori:Tyskland
Māhele:ʻAmelika Hui Pū ʻia	Kategori:USA
Māhele:Sepania	Kategori:Spanien
Māhele:Mekiko	Kategori:Mexiko
Gallegos del Pan	Gallegos del Pan
Māhele:Pōlani	Kategori:Polen
Māhele:Wiekanama	Kategori:Vietnam
Māhele:Hōʻike honua	Kategori:Geografi
Māhele:Akeakamai	Kategori:Vetenskap
Kāneʻohe	Kaneohe
Care Bears	Krambjörnarna
Alcañices	Alcanizes
Arapiles	Arapiles
Castrogonzalo	Castrogonzalo
Granucillo	Granucillo de Vidriales
Waimanalo	Waimanalo, Hawaii
Pukalani	Pukalani
Páginas da Vida	Páginas da Vida
Māhele:Disambig	Kategori:Förgreningssidor
Albert Küchler	Albert Küchler
Wailuku	Wailuku
ʻĀhuimanu, Hawaiʻi	Ahuimanu
Heʻeia	Heeia
Māʻili	Maili
Pāʻia	Paia
Bochotnica	Bochotnica
Sanna Nielsen	Sanna Nielsen
Makawao	Makawao
Mākaha	Mākaha
Conrad Bain	Conrad Bain
Carrossel	Carrossel
Māhele:Nā ‘āinapuni‘ole	Kategori:Världsdelar
Zoboomafoo	Zoboomafoo
Anakuhi:Nā hōkū hele o ke kahua o nā hōkū	Mall:Solsystemet
Kula ʻo Punahou	Punahou School
Lāʻie	Laie, Hawaii
Karacaoğlan	Karacaoğlan
Bernice Pauahi Bishop	Bernice Pauahi Bishop
Wikipedia:Nā kahu	Wikipedia:Administratörer
Wikipedia:Nā noi e ho‘oki‘eki‘e	Wikipedia:Ansökan om administrativ behörighet
Wikipedia:Lopako	Wikipedia:Robotar
‘Aikupika	Egypten
Anakuhi:Lopako	Mall:Bot
Kanakā	Kanada
Māhele:Hunakalia	Kategori:Ungern
Māhele:Helene	Kategori:Grekland
Māhele:Solowakia	Kategori:Slovakien
Māhele:ʻEulopa	Kategori:Europa
Māhele:Wikipedians by language	Kategori:Användare efter språk
Wikipedia:‘Ōmuku	Wikipedia:Stubbar
Anakuhi:Softredirect	Mall:Mjuk omdirigering
Anakuhi:Kāpae	Mall:Radera
Māhele:‘Ōlelo	Kategori:Språk
Māhele:Wikipikia	Kategori:Wikipedia
Wikipedia:Nā a‘o ‘ana laulā	Wikipedia:Allmänt förbehåll
Wikipedia:Manuale Kaila	Wikipedia:Stilguide
Anakuhi:Navbox	Mall:Navbox
Anakuhi:!	Mall:!
Anakuhi:Tnavbar	Mall:Navbar
Māhele:ʻApelika	Kategori:Afrika
Anakuhi:Papela	Mall:Babel
Anakuhi:Commons	Mall:Commons
Anakuhi:ʻŌmuku	Mall:Stub
Anakuhi:User de	Mall:Användare de
Anakuhi:User en	Mall:Användare en
Anakuhi:User fr	Mall:Användare fr
Māhele:ʻĀkia	Kategori:Asien
Māhele:21st century	Kategori:2000-talet
Māhele:Castille a Leon	Kategori:Kastilien och Leon
Anakuhi:Mod	Mall:Mod
Anakuhi:Aloha	Mall:Nybörjare
Anakuhi:Wikipediasister	Mall:Wikipediasystrar
Anakuhi:Wide image	Mall:Panorama
Māhele:Palika	Kategori:Paris
Māhele:User en	Kategori:Användare en
Anakuhi:User ru	Mall:Användare ru
Anakuhi:Pule	Mall:Veckodagar
Anakuhi:Huaʻōlelo puana like	Mall:Förgrening
Māhele:User fr	Kategori:Användare fr
Māhele:Panalāʻau o Quảng Binh	Kategori:Quang Binh
Māhele:User de	Kategori:Användare de
Māhele:User de-N	Kategori:Användare de-N
Māhele:User en-N	Kategori:Användare en-N
Anakuhi:ʻŌnaehana helu	Mall:Tal
Māhele:Huli kanaka	Kategori:Samhällsvetenskap
Māhele:Kahawai o Palani	Kategori:Vattendrag i Frankrike
Māhele:User ru	Kategori:Användare ru
Māhele:Kahaki‘i	Kategori:Målare
Māhele:Hawai‘i	Kategori:Hawaii
Māhele:Kanaka o Hawaiʻi	Kategori:Personer från Hawaii
Māhele:Kelewikiona	Kategori:Television
Māhele:Nolewai	Kategori:Norge
Māhele:Kapikala	Kategori:Huvudstäder
Māhele:Honolulu	Kategori:Honolulu
Trojany	Trojany
Māhele:Haku mele (ho‘okani)	Kategori:Kompositörer
Anakuhi:Nā kapikala o nā moku‘āina o ‘Amelika Hui	Mall:USA:s delstatshuvudstäder
Module:Yesno	Modul:Yesno
Module:Arguments	Modul:Arguments
Papa nui:NāLoliHou	Special:Senaste ändringar
Module:HtmlBuilder	Modul:HtmlBuilder
Module:Navbox	Modul:Navbox
