આફ્રિકા	Afrika
ઉબુન્ટુ (ઓપરેટિંગ સિસ્ટમ)	Ubuntu
ગણિત	Matematik
બહેરીન	Bahrain
આર્મેનિયા	Armenien
ચંદ્ર	Månen
ઑસ્ટ્રેલિયા	Australien
ભૌતિકશાસ્ત્ર	Fysik
આર્જેન્ટીના	Argentina
પેરુ (દેશ)	Peru
જીવવિજ્ઞાન	Biologi
અજાણી ઊડતી વસ્તુ	Ufo
ઉત્તર કોરિયા	Nordkorea
કમ્બોડીયા	Kambodja
કુરાન	Koranen
ડાયનાસોર	Dinosaurier
પ્રાણીશાસ્ત્ર	Zoologi
ઇસ્લામ	Islam
વર્લ્ડ વાઈડ વેબ	World Wide Web
સ્ત્રી	Kvinna
કોમ્પ્યુટર વાયરસ	Datorvirus
હિરોશિમા અને નાગાસાકી પરનો અણુ હુમલો	Atombomberna över Hiroshima och Nagasaki
મિલાન	Milano
લીંબુ	Citron
કેળાં	Banan
ફૂલ	Blomma
માઉન્ટ એવરેસ્ટ	Mount Everest
શહેર	Stad
નેપોલિયન બોનાપાર્ટ	Napoleon I
સૂર્ય	Solen
લૂઈ પાશ્ચર	Louis Pasteur
પ્રકાશવર્ષ	Ljusår
ગામ	By
સૂર્યમંડળ	Solsystemet
ચેમ્પ્સ-એલીસીસ (પેરિસ)	Champs-Élysées
ઉદકજન	Väte
હીલિયમ	Helium
નર્ક	Helvete
વિકિમીડિયા કૉમન્સ	Wikimedia Commons
લિથિયમ	Litium
બેરિલિયમ	Beryllium
દિવસ	Dygn
પૂર્વ તિમોર	Östtimor
વર્ષ	År
ઓસ્લો	Oslo
કૃષ્ણ વિવર	Svart hål
સિરસ (વામન ગ્રહ)	Ceres (dvärgplanet)
હૌમેયા (વામન ગ્રહ)	Haumea (dvärgplanet)
મેકમેક (વામન ગ્રહ)	Makemake (dvärgplanet)
બોરોન	Bor
કાર્બન	Kol
નત્રલવાયુ	Kväve
પ્રાણવાયુ (ઑક્સીજન)	Syre
ગ્રહ	Planet
સંગીત	Musik
ઉષ્ણતામાપક	Termometer
ફ્લોરિન	Fluor
નિયોન	Neon
ચૅડ	Tchad
ક્ષારાતુ	Natrium
ઉત્તર	Norr
મેગ્નેશિયમ	Magnesium
સ્ફટયાતુ	Aluminium
દક્ષિણ	Söder
ભારત	Indien
સિલિકોન	Kisel
ફ્રાંસીયમ	Francium
ફોસ્ફરસ	Fosfor
લોખંડ	Järn
પશ્ચિમ	Väster
ગંધક	Svavel
સમોઆ	Samoa
નીરજી	Klor
વિલિયમ શેક્સપીયર	William Shakespeare
આર્ગોન	Argon
નૌરુ	Nauru
પોટેશિયમ	Kalium
કેલ્શિયમ	Kalcium
સીસું	Bly
મંગોલિયા	Mongoliet
સ્કેન્ડિયમ	Skandium
ટાઇટેનિયમ	Titan
વેનેઝુએલા	Venezuela
ચેસ	Schack
વેનેડિયમ	Vanadin
વર્ણાતુ	Krom
ઘોડો	Häst
હથિયારો	Vapen
પ્રાણી	Djur
સુરીનામ	Surinam
મેંગેનિઝ	Mangan
ગુયાના	Guyana
કલા	Konst
ઈક્વેડોર	Ecuador
રિનીયમ	Rhenium
કોલમ્બિયા	Colombia
કોબાલ્ટ	Kobolt
ટંગસ્ટન	Volfram
નિકલ	Nickel
બૌદ્ધ ધર્મ	Buddhism
બોલીવિયા	Bolivia
ઓસ્મીયમ	Osmium
તાંબુ	Koppar
ટ્રિનિદાદ અને ટોબેગો	Trinidad och Tobago
જસત	Zink
ન્યૂ હેમ્પશાયર	New Hampshire
લિઓનાર્ડો દ વિન્ચી	Leonardo da Vinci
ગૂગલ ક્રોમ	Google Chrome
હોન્ડુરાસ	Honduras
હૈતી	Haiti
ઈરાન	Iran
ઈરાક	Irak
શાણપણ	Visdom
ઈઝરાયલ	Israel
પનામા	Panama
યેમેન	Jemen
જૉર્ડન	Jordanien
કિર્ગિસ્તાન	Kirgizistan
કુવૈત	Kuwait
લાઓસ	Laos
લેબેનાન	Libanon
માલદીવ્સ	Maldiverna
અમેરિકા	Amerika
મલેશિયા	Malaysia
બર્મા	Burma
નેપાળ	Nepal
ઓમાન	Oman
પાકિસ્તાન	Pakistan
જેમ્સ બોન્ડ	James Bond
કતાર (અરબસ્તાન)	Qatar
સાઉદી અરેબિયા	Saudiarabien
શ્રીલંકા	Sri Lanka
સ્ટાલિન	Josef Stalin
સિરિયા	Syrien
પ્લેટો	Platon
ગેલિયમ	Gallium
તાજિકિસ્તાન	Tadzjikistan
ચીની ગણતંત્ર	Taiwan
યુ ટ્યુબ	Youtube
જર્મેનિયમ	Germanium
એરિસ્ટોટલ	Aristoteles
થાઇલેન્ડ	Thailand
સોમલ	Arsenik
તુર્કમેનિસ્તાન	Turkmenistan
સેલિનીયમ	Selen
ઈરિડીયમ	Iridium
બ્રોમિન	Brom
પ્લેટિનમ	Platina
વિયેતનામ	Vietnam
ચાર્લી ચૅપ્લિન	Charlie Chaplin
દક્ષિણ કોરિયા	Sydkorea
ક્રિપ્ટોન	Krypton
અફઘાનિસ્તાન	Afghanistan
રુબિડીયમ	Rubidium
સોનું	Guld
સુએઝ નહેર	Suezkanalen
બાંગ્લાદેશ	Bangladesh
સોક્રેટિસ	Sokrates
ભૂતાન	Bhutan
બ્રુનેઈ	Brunei
ટાન્ઝાનિયા	Tanzania
પારો	Kvicksilver
ફીલીપાઈન્સ	Filippinerna
થેલીયમ	Tallium
આઇઝેક ન્યુટન	Isaac Newton
આલ્બર્ટ આઇન્સ્ટાઇન	Albert Einstein
સ્ટ્રોન્શિયમ	Strontium
ઈટ્રીયમ	Yttrium
બિસ્મથ	Vismut
ટોગો	Togo
ટ્યુનિશિયા	Tunisien
બેઇજિંગ	Peking
બેનિન	Benin
પોલોનીયમ	Polonium
એસ્ટાટીન	Astat
મહાત્મા ગાંધી	Mahatma Gandhi
મડાગાસ્કર	Madagaskar
સ્ટુટગાર્ટ	Stuttgart
નાઈજર	Niger
નાઈજેરિયા	Nigeria
ચાર્લ્સ ડાર્વિન	Charles Darwin
ઝિર્કોનિયમ	Zirkonium
નાયોબિયમ	Niob
જવાહરલાલ નેહરુ	Jawaharlal Nehru
જુલિયસ સીઝર	Julius Caesar
સુદાન	Sudan
સ્વાઝીલેન્ડ	Swaziland
મેઘધનુષ	Regnbåge
મોલિબ્ડેનમ	Molybden
ટેક્નેશિયમ	Teknetium
ચયાપચય	Metabolism
નરેન્દ્ર મોદી	Narendra Modi
ગુજરાત	Gujarat
ઉત્ક્રાંતિ	Evolution
સંયુક્ત રાષ્ટ્રસંઘ	Förenta nationerna
અમદાવાદ	Ahmedabad
ભૂગોળ	Geografi
મગજ	Hjärna
સંજ્ઞા	Substantiv
રુથેનિયમ	Rutenium
રોડિયમ	Rodium
પલેડિયમ	Palladium
ચાંદી	Silver
કેડમિયમ	Kadmium
ઈંડિયમ	Indium
ટીન	Tenn
યુરેનિયમ	Uran
એંટિમની	Antimon
ટેલુરિયમ	Tellur
પ્લુટોનીયમ	Plutonium
આયોડિન	Jod
નેપ્ચ્યુનીયમ	Neptunium
ઝેનોન	Xenon
સીસીયમ	Cesium
પ્રોટેક્ટિનીયમ	Protaktinium
બેરિયમ	Barium
થોરીયમ	Torium
હાફનીયમ	Hafnium
એક્ટિનીયમ	Aktinium
ટેન્ટેલમ	Tantal
રેડિયમ	Radium
રેડૉન	Radon
ઈન્દિરા ગાંધી	Indira Gandhi
જામનગર	Jamnagar
મુંબઈ	Bombay
આંધ્ર પ્રદેશ	Andhra Pradesh
અરુણાચલ પ્રદેશ	Arunachal Pradesh
આસામ	Assam
બિહાર	Bihar
છત્તીસગઢ	Chhattisgarh
ગોઆ	Goa
હરિયાણા	Haryana
હિમાચલ પ્રદેશ	Himachal Pradesh
જમ્મુ અને કાશ્મીર	Jammu och Kashmir
ઝારખંડ	Jharkhand
કર્ણાટક	Karnataka
કેરળ	Kerala
મધ્ય પ્રદેશ	Madhya Pradesh
યુસૈન બોલ્ટ	Usain Bolt
મહારાષ્ટ્ર	Maharashtra
મણિપુર	Manipur
મેઘાલય	Meghalaya
બ્રુસ સ્પ્રિન્ગસ્ટીન	Bruce Springsteen
રુથરફોર્ડીયમ	Rutherfordium
ડૂબનીયમ	Dubnium
સીબોર્ગીયમ	Seaborgium
હિંદ મહાસાગર	Indiska oceanen
કેરેબિયન સાગર	Karibiska havet
બોહ્રીયમ	Bohrium
હેસીયમ	Hassium
માઈટનિરીયમ	Meitnerium
ડાર્મસ્ટેડીયમ	Darmstadtium
રેન્ટજિનીયમ	Röntgenium
કોપરનિસીયમ	Copernicium
ધ બિટલ્સ	The Beatles
શિયાળો	Vinter
ઉનાળો	Sommar
સમપ્રકાશીય ઘટના કે વિષુવકાલ	Dagjämning
ફિલાડેલ્ફિયા, પેન્સિલવેનિયા	Philadelphia
કોલકાતા	Calcutta
ચેન્નઈ	Chennai
દિલ્હી	Delhi
ઢાકા	Dhaka
બેંગલોર	Bangalore
પશ્ચિમ બંગાળ	Västbengalen
હૈદરાબાદ	Hyderabad
ઇસ્લામાબાદ	Islamabad
ત્રિપુરા	Tripura
સિરીયમ	Cerium
પ્રેસિયોડિમિયમ	Praseodym
નિયોડીમીયમ	Neodym
લેનિન	Vladimir Lenin
યુરોપિયમ	Europium
ઊએતેર્સેન્	Uetersen
ઇન્ડિયાના	Indiana
નોકિયા	Nokia
મોટરગાડી	Bil
ટ્રાજન	Trajanus
રોજર ફેડરર	Roger Federer
રાજસ્થાન	Rajasthan
તમિલનાડુ	Tamil Nadu
હોકી	Landhockey
ક્રોહનનો રોગ	Crohns sjukdom
ઉત્તર પ્રદેશ	Uttar Pradesh
ઉત્તરાખંડ	Uttarakhand
મિઝોરમ	Mizoram
સિક્કિમ	Sikkim
ટેનેસી	Tennessee
નાગપુર	Nagpur
કારાકાસ	Caracas
પુના	Pune
આયોવા	Iowa
નેબ્રાસ્કા	Nebraska
કેન્સાસ	Kansas
હિંદી ભાષા	Hindi
મરાઠી ભાષા	Marathi
ગણેશ	Ganesha
મિઝોરી	Missouri
લ્યુઇસિયાના	Louisiana
નાગાલેંડ	Nagaland
અરકાનસાસ	Arkansas
નીલ આર્મસ્ટ્રૉંગ	Neil Armstrong
ઉર્દુ ભાષા	Urdu
ઓક્લાહોમા	Oklahoma
બુડાપેસ્ટ	Budapest
લેન્થેનમ	Lantan
પ્રોમેથિયમ	Prometium
સમેરિયમ	Samarium
ગેડોલિનીયમ	Gadolinium
ટર્બિયમ	Terbium
ડીસ્પ્રોસીયમ	Dysprosium
બાઇબલ	Bibeln
હોલ્મીયમ	Holmium
અર્બિયમ	Erbium
થુલિયમ	Tulium
ઈટરબિયમ	Ytterbium
લ્યુટેશિયમ	Lutetium
સત્ય ઇસુ દેવળ	The True Jesus Church
અંગ્રેજી ભાષા	Engelska
અમેરિસીયમ	Americium
ક્યુરીયમ	Curium
બર્કેલીયમ	Berkelium
કેલિફોર્નીયમ	Californium
આઇન્સ્ટેનીયમ	Einsteinium
ફર્મીયમ	Fermium
મેન્ડેલિવીયમ	Mendelevium
નોબેલીયમ	Nobelium
લોરેન્સીયમ	Lawrencium
ગુરુના ચંદ્રો	Jupiters naturliga satelliter
કઞ્સ્કવલા	Końskowola
૨૦૦૧	2001
વિકિટ્રાવેલ	Wikitravel
૧૯૯૩	1993
૧૯૧૦	1910
સાપ	Ormar
મુખ મૈથુન	Oralsex
જાન્યુઆરી ૧	1 januari
જાન્યુઆરી ૨	2 januari
સુભાષચંદ્ર બોઝ	Subhas Chandra Bose
જાન્યુઆરી ૩	3 januari
જાન્યુઆરી ૪	4 januari
જાન્યુઆરી ૫	5 januari
જાન્યુઆરી ૬	6 januari
જાન્યુઆરી ૭	7 januari
જાન્યુઆરી ૮	8 januari
જાન્યુઆરી ૯	9 januari
જાન્યુઆરી ૧૦	10 januari
જાન્યુઆરી ૧૧	11 januari
જાન્યુઆરી ૧૨	12 januari
જાન્યુઆરી ૧૩	13 januari
બર્મિંગહામ	Birmingham
જાન્યુઆરી ૧૪	14 januari
જાન્યુઆરી ૧૫	15 januari
જાન્યુઆરી ૧૬	16 januari
જાન્યુઆરી ૧૭	17 januari
જાન્યુઆરી ૧૮	18 januari
જાન્યુઆરી ૧૯	19 januari
જાન્યુઆરી ૨૦	20 januari
જાન્યુઆરી ૨૧	21 januari
જાન્યુઆરી ૨૨	22 januari
જાન્યુઆરી ૨૩	23 januari
જાન્યુઆરી ૨૪	24 januari
જાન્યુઆરી ૨૫	25 januari
જાન્યુઆરી ૨૬	26 januari
માઇક્રોસોફ્ટ	Microsoft
જાન્યુઆરી ૨૭	27 januari
જાન્યુઆરી ૨૮	28 januari
જાન્યુઆરી ૨૯	29 januari
જાન્યુઆરી ૩૦	30 januari
જાન્યુઆરી ૩૧	31 januari
ડિસેમ્બર ૨	2 december
ડિસેમ્બર ૧	1 december
ડિસેમ્બર ૩	3 december
ડિસેમ્બર ૭	7 december
ડિસેમ્બર ૫	5 december
ડિસેમ્બર ૮	8 december
ડિસેમ્બર ૧૦	10 december
ડિસેમ્બર ૬	6 december
ડિસેમ્બર ૯	9 december
પિંક ફ્લોઇડ	Pink Floyd
ડિસેમ્બર ૪	4 december
ફેબ્રુઆરી ૧	1 februari
ફેબ્રુઆરી ૨	2 februari
ફેબ્રુઆરી ૩	3 februari
કુરોવ	Kurów
ફેબ્રુઆરી ૪	4 februari
ફેબ્રુઆરી ૫	5 februari
ફેબ્રુઆરી ૬	6 februari
ફેબ્રુઆરી ૭	7 februari
ફેબ્રુઆરી ૮	8 februari
ફેબ્રુઆરી ૯	9 februari
ફેબ્રુઆરી ૧૦	10 februari
રસાયણ શાસ્ત્ર	Kemi
ફેબ્રુઆરી ૧૪	14 februari
ફેબ્રુઆરી ૧૩	13 februari
ફેબ્રુઆરી ૧૫	15 februari
ફેબ્રુઆરી ૧૧	11 februari
ફેબ્રુઆરી ૧૨	12 februari
ફેબ્રુઆરી ૧૯	19 februari
ફેબ્રુઆરી ૧૭	17 februari
ફેબ્રુઆરી ૧૬	16 februari
ફેબ્રુઆરી ૧૮	18 februari
ફેબ્રુઆરી ૨૦	20 februari
ફેબ્રુઆરી ૨૧	21 februari
ફેબ્રુઆરી ૨૨	22 februari
ફેબ્રુઆરી ૨૩	23 februari
ફેબ્રુઆરી ૨૪	24 februari
ફેબ્રુઆરી ૨૫	25 februari
ફેબ્રુઆરી ૨૬	26 februari
ફેબ્રુઆરી ૨૭	27 februari
ફેબ્રુઆરી ૨૮	28 februari
ડિસેમ્બર ૧૧	11 december
ફેબ્રુઆરી ૨૯	29 februari
ડિસેમ્બર ૧૨	12 december
C શાર્પ (પ્રોગ્રામિંગ ભાષા)	C-sharp
ડિસેમ્બર ૧૩	13 december
ડિસેમ્બર ૧૪	14 december
ડિસેમ્બર ૧૫	15 december
માર્ચ ૨	2 mars
માર્ચ ૩	3 mars
માર્ચ ૫	5 mars
માર્ચ ૧	1 mars
માર્ચ ૭	7 mars
માર્ચ ૮	8 mars
માર્ચ ૪	4 mars
માર્ચ ૧૦	10 mars
માર્ચ ૧૧	11 mars
માર્ચ ૬	6 mars
માર્ચ ૧૩	13 mars
માર્ચ ૯	9 mars
માર્ચ ૧૨	12 mars
માર્ચ ૧૫	15 mars
માર્ચ ૧૪	14 mars
C++(પ્રોગ્રામિંગ ભાષા)	C++
ડિસેમ્બર ૧૬	16 december
ડિસેમ્બર ૧૭	17 december
માર્ચ ૧૬	16 mars
માર્ચ ૧૭	17 mars
માર્ચ ૧૮	18 mars
માર્ચ ૧૯	19 mars
માર્ચ ૨૦	20 mars
માર્ચ ૨૧	21 mars
માર્ચ ૨૨	22 mars
ડિસેમ્બર ૧૮	18 december
માર્ચ ૨૩	23 mars
ડિસેમ્બર ૧૯	19 december
માર્ચ ૨૪	24 mars
માર્ચ ૨૫	25 mars
ડિસેમ્બર ૨૦	20 december
માર્ચ ૨૬	26 mars
માર્ચ ૨૭	27 mars
માર્ચ ૨૮	28 mars
માર્ચ ૨૯	29 mars
માર્ચ ૩૦	30 mars
માર્ચ ૩૧	31 mars
એપ્રિલ ૧૫	15 april
એપ્રિલ ૧૩	13 april
એપ્રિલ ૧૨	12 april
એપ્રિલ ૧૪	14 april
એપ્રિલ ૧૧	11 april
એપ્રિલ ૧૦	10 april
એપ્રિલ ૮	8 april
એપ્રિલ ૯	9 april
એપ્રિલ ૭	7 april
એપ્રિલ ૬	6 april
એપ્રિલ ૫	5 april
એપ્રિલ ૪	4 april
એપ્રિલ ૩	3 april
એપ્રિલ ૧	1 april
એપ્રિલ ૨	2 april
એપ્રિલ ૧૬	16 april
એપ્રિલ ૧૭	17 april
એપ્રિલ ૧૮	18 april
એપ્રિલ ૧૯	19 april
એપ્રિલ ૨૦	20 april
એપ્રિલ ૨૧	21 april
એપ્રિલ ૨૨	22 april
એપ્રિલ ૨૩	23 april
એપ્રિલ ૨૪	24 april
એપ્રિલ ૨૫	25 april
એપ્રિલ ૨૬	26 april
એપ્રિલ ૨૭	27 april
એપ્રિલ ૨૮	28 april
એપ્રિલ ૨૯	29 april
એપ્રિલ ૩૦	30 april
મે ૧	1 maj
મે ૨	2 maj
મે ૩	3 maj
મે ૪	4 maj
મે ૫	5 maj
મે ૬	6 maj
મે ૭	7 maj
મે ૮	8 maj
મે ૯	9 maj
મે ૧૦	10 maj
મે ૧૧	11 maj
મે ૧૨	12 maj
મે ૧૩	13 maj
મે ૧૪	14 maj
મે ૧૫	15 maj
મે ૧૬	16 maj
મે ૧૭	17 maj
મે ૧૮	18 maj
મે ૧૯	19 maj
મે ૨૦	20 maj
મે ૨૧	21 maj
મે ૨૨	22 maj
મે ૨૩	23 maj
મે ૨૪	24 maj
મે ૨૫	25 maj
મે ૨૬	26 maj
મે ૨૭	27 maj
મે ૨૮	28 maj
મે ૨૯	29 maj
મે ૩૦	30 maj
મે ૩૧	31 maj
ડિસેમ્બર ૨૧	21 december
જૂન ૧૪	14 juni
જૂન ૧૫	15 juni
જૂન ૧૩	13 juni
જૂન ૧૦	10 juni
જૂન ૭	7 juni
જૂન ૧૧	11 juni
જૂન ૯	9 juni
જૂન ૧૨	12 juni
જૂન ૬	6 juni
જૂન ૮	8 juni
જૂન ૫	5 juni
જૂન ૩	3 juni
જૂન ૨	2 juni
જૂન ૧	1 juni
જૂન ૪	4 juni
ડિસેમ્બર ૨૨	22 december
જૂન ૧૬	16 juni
જૂન ૩૦	30 juni
જૂન ૨૯	29 juni
જૂન ૨૮	28 juni
જૂન ૨૬	26 juni
જૂન ૨૫	25 juni
જૂન ૨૨	22 juni
જૂન ૨૭	27 juni
જૂન ૨૪	24 juni
જૂન ૨૦	20 juni
જૂન ૨૩	23 juni
જૂન ૧૯	19 juni
જૂન ૧૮	18 juni
જૂન ૨૧	21 juni
જૂન ૧૭	17 juni
ડિસેમ્બર ૨૩	23 december
આર્નોલ્ડ શ્વાર્ઝેનેગર	Arnold Schwarzenegger
જુલાઇ ૧૫	15 juli
જુલાઇ ૧૩	13 juli
જુલાઇ ૧૨	12 juli
જુલાઇ ૧૦	10 juli
જુલાઇ ૯	9 juli
જુલાઇ ૧૪	14 juli
જુલાઇ ૮	8 juli
જુલાઇ ૭	7 juli
જુલાઇ ૬	6 juli
જુલાઇ ૫	5 juli
જુલાઇ ૨	2 juli
જુલાઇ ૪	4 juli
જુલાઇ ૩	3 juli
જુલાઇ ૧	1 juli
જુલાઇ ૧૧	11 juli
ડિસેમ્બર ૨૪	24 december
જુલાઇ ૩૧	31 juli
જુલાઇ ૩૦	30 juli
જુલાઇ ૨૯	29 juli
જુલાઇ ૨૮	28 juli
જુલાઇ ૨૭	27 juli
જુલાઇ ૨૫	25 juli
જુલાઇ ૨૪	24 juli
જુલાઇ ૨૩	23 juli
જુલાઇ ૨૬	26 juli
જુલાઇ ૨૨	22 juli
જુલાઇ ૧૯	19 juli
જુલાઇ ૨૧	21 juli
જુલાઇ ૨૦	20 juli
જુલાઇ ૧૭	17 juli
જુલાઇ ૧૮	18 juli
જુલાઇ ૧૬	16 juli
અસોસિએશન ફુટબોલ	Fotboll
ડિસેમ્બર ૨૫	25 december
ડિસેમ્બર ૨૬	26 december
ઓગસ્ટ ૧૪	14 augusti
ઓગસ્ટ ૧૫	15 augusti
ઓગસ્ટ ૧૩	13 augusti
ઓગસ્ટ ૧૨	12 augusti
ઓગસ્ટ ૧૧	11 augusti
ઓગસ્ટ ૧૦	10 augusti
ઓગસ્ટ ૮	8 augusti
ઓગસ્ટ ૭	7 augusti
ઓગસ્ટ ૯	9 augusti
ઓગસ્ટ ૫	5 augusti
ઓગસ્ટ ૪	4 augusti
ઓગસ્ટ ૨	2 augusti
ઓગસ્ટ ૩	3 augusti
ઓગસ્ટ ૬	6 augusti
ઓગસ્ટ ૧	1 augusti
આઇપેડ (iPad)	Ipad
ડિસેમ્બર ૨૭	27 december
સબમરીન	Ubåt
ઓગસ્ટ ૧૬	16 augusti
ઓગસ્ટ ૨૯	29 augusti
ઓગસ્ટ ૨૮	28 augusti
ઓગસ્ટ ૩૦	30 augusti
ઓગસ્ટ ૨૫	25 augusti
ઓગસ્ટ ૨૬	26 augusti
ઓગસ્ટ ૨૩	23 augusti
ઓગસ્ટ ૨૭	27 augusti
ઓગસ્ટ ૨૧	21 augusti
ઓગસ્ટ ૨૦	20 augusti
ઓગસ્ટ ૨૪	24 augusti
ઓગસ્ટ ૧૮	18 augusti
ઓગસ્ટ ૧૭	17 augusti
ઓગસ્ટ ૨૨	22 augusti
ઓગસ્ટ ૧૯	19 augusti
ઓગસ્ટ ૩૧	31 augusti
માઇકલ જેકસન	Michael Jackson
ડિસેમ્બર ૨૮	28 december
સપ્ટેમ્બર ૧૫	15 september
સપ્ટેમ્બર ૧૪	14 september
સપ્ટેમ્બર ૧૩	13 september
સપ્ટેમ્બર ૧૨	12 september
સપ્ટેમ્બર ૮	8 september
સપ્ટેમ્બર ૧૧	11 september
સપ્ટેમ્બર ૭	7 september
સપ્ટેમ્બર ૧૦	10 september
સપ્ટેમ્બર ૫	5 september
સપ્ટેમ્બર ૪	4 september
સપ્ટેમ્બર ૯	9 september
સપ્ટેમ્બર ૨	2 september
સપ્ટેમ્બર ૬	6 september
સપ્ટેમ્બર ૧	1 september
સપ્ટેમ્બર ૩	3 september
ડિસેમ્બર ૨૯	29 december
સપ્ટેમ્બર ૩૦	30 september
સપ્ટેમ્બર ૨૯	29 september
સપ્ટેમ્બર ૨૮	28 september
સપ્ટેમ્બર ૨૭	27 september
સપ્ટેમ્બર ૨૬	26 september
સપ્ટેમ્બર ૨૫	25 september
સપ્ટેમ્બર ૨૩	23 september
સપ્ટેમ્બર ૨૨	22 september
સપ્ટેમ્બર ૨૪	24 september
સપ્ટેમ્બર ૨૧	21 september
સપ્ટેમ્બર ૨૦	20 september
સપ્ટેમ્બર ૧૮	18 september
સપ્ટેમ્બર ૧૭	17 september
સપ્ટેમ્બર ૧૯	19 september
સપ્ટેમ્બર ૧૬	16 september
ડિસેમ્બર ૩૦	30 december
ડિસેમ્બર ૩૧	31 december
